"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 05월 13일","654.50","596.25","596.25","587.00","-","0.00%"
"2022년 05월 12일","654.50","566.50","590.00","563.00","0.02K","3.36%"
"2022년 05월 11일","633.25","715.00","715.00","715.00","0.00K","0.64%"
"2022년 05월 10일","629.25","561.50","561.50","544.00","0.01K","12.57%"
"2022년 05월 09일","559.00","570.25","570.50","546.00","0.05K","-2.06%"
"2022년 05월 06일","570.75","589.75","591.00","575.00","0.01K","-2.60%"
"2022년 05월 05일","586.00","596.50","596.50","585.00","0.01K","-1.55%"
"2022년 05월 04일","595.25","600.00","600.00","595.75","0.02K","-15.27%"
"2022년 05월 03일","702.50","690.00","690.00","690.00","0.01K","2.70%"
"2022년 05월 02일","684.00","680.50","680.50","680.50","0.01K","1.26%"
"2022년 04월 29일","675.50","705.00","710.00","689.50","0.04K","-2.53%"
"2022년 04월 28일","693.00","676.00","725.00","675.00","0.06K","3.24%"
"2022년 04월 27일","671.25","696.25","696.50","665.00","0.08K","-3.28%"
"2022년 04월 26일","694.00","721.50","721.50","680.00","0.13K","-2.97%"
"2022년 04월 25일","715.25","721.25","745.75","713.50","0.18K","-0.83%"
"2022년 04월 22일","721.25","710.25","726.25","708.25","0.18K","1.37%"
"2022년 04월 21일","711.50","728.50","731.00","705.00","0.18K","-1.66%"
"2022년 04월 20일","723.50","741.00","741.00","724.00","0.24K","-3.08%"
"2022년 04월 19일","746.50","763.25","764.00","743.00","0.19K","-1.94%"
"2022년 04월 18일","761.25","745.00","767.00","735.00","0.25K","0.56%"
"2022년 04월 14일","757.00","795.00","799.75","756.75","0.34K","-4.99%"
"2022년 04월 13일","796.75","801.25","806.75","791.25","0.26K","-1.27%"
"2022년 04월 12일","807.00","803.00","811.00","799.75","0.16K","0.50%"
"2022년 04월 11일","803.00","786.25","807.75","786.25","0.17K","1.07%"
"2022년 04월 08일","794.50","772.75","797.25","766.00","0.26K","3.55%"
"2022년 04월 07일","767.25","753.75","772.25","750.00","0.19K","1.96%"
"2022년 04월 06일","752.50","742.00","755.50","737.00","0.16K","0.97%"
"2022년 04월 05일","745.25","730.00","747.00","730.00","0.17K","2.02%"
"2022년 04월 04일","730.50","734.75","741.00","729.25","0.19K","-1.28%"
"2022년 04월 01일","740.00","729.50","740.75","720.75","0.26K","1.72%"
"2022년 03월 31일","727.50","728.50","733.25","713.25","0.23K","-0.34%"
"2022년 03월 30일","730.00","713.00","741.00","712.00","0.21K","1.53%"
"2022년 03월 29일","719.00","756.00","760.00","716.00","0.21K","-4.89%"
"2022년 03월 28일","756.00","732.75","759.50","727.75","0.23K","2.44%"
"2022년 03월 25일","738.00","710.75","741.75","702.50","0.21K","4.94%"
"2022년 03월 24일","703.25","719.50","720.25","693.50","0.20K","-2.60%"
"2022년 03월 23일","722.00","722.00","736.00","719.50","0.14K","-0.28%"
"2022년 03월 22일","724.00","722.25","729.00","716.50","0.19K","-0.41%"
"2022년 03월 21일","727.00","693.50","729.25","693.50","0.40K","4.60%"
"2022년 03월 18일","695.00","680.00","695.00","680.00","0.29K","2.17%"
"2022년 03월 17일","680.25","665.50","681.00","663.25","0.24K","2.33%"
"2022년 03월 16일","664.75","658.25","672.75","657.50","0.15K","0.49%"
"2022년 03월 15일","661.50","663.00","664.00","645.25","0.34K","-8.38%"
"2022년 03월 14일","722.00","602.75","610.00","602.50","0.01K","16.97%"
"2022년 03월 11일","617.25","601.75","615.50","601.50","0.04K","1.35%"
"2022년 03월 10일","609.00","581.25","617.00","581.25","0.06K","3.79%"
"2022년 03월 09일","586.75","583.50","590.50","582.50","0.02K","-0.51%"
"2022년 03월 08일","589.75","583.00","595.25","565.00","0.06K","0.77%"
"2022년 03월 07일","585.25","602.50","610.00","570.00","0.04K","-1.43%"
"2022년 03월 04일","593.75","594.25","612.75","580.25","0.03K","0.38%"
"2022년 03월 03일","591.50","600.00","600.00","563.00","0.04K","1.41%"
"2022년 03월 02일","583.25","603.00","609.75","589.50","0.02K","-3.36%"
"2022년 03월 01일","603.50","583.00","608.50","580.00","0.05K","5.97%"
"2022년 02월 28일","569.50","553.25","578.50","553.25","0.04K","-11.60%"
"2022년 02월 25일","644.25","655.50","669.50","635.25","0.07K","-1.79%"
