"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 05월 13일","27,262.00","27,600.00","27,475.00","27,475.00","-","-1.97%"
"2022년 05월 12일","27,810.00","27,750.00","27,600.00","27,625.00","14.16K","0.01%"
"2022년 05월 11일","27,806.00","27,900.00","27,875.00","27,900.00","6.94K","-2.14%"
"2022년 05월 10일","28,414.00","27,910.00","27,900.00","27,910.00","7.39K","0.81%"
"2022년 05월 09일","28,185.00","28,350.00","28,300.00","28,350.00","8.08K","-6.29%"
"2022년 05월 06일","30,076.00","30,075.00","30,030.00","30,030.00","16.41K","-0.13%"
"2022년 05월 05일","30,114.00","30,350.00","30,275.00","30,300.00","6.71K","-1.71%"
"2022년 05월 04일","30,638.00","30,600.00","30,425.00","30,450.00","7.01K","-1.09%"
"2022년 05월 03일","30,975.00","31,025.00","31,000.00","31,025.00","8.20K","-2.51%"
"2022년 04월 29일","31,771.00","32,600.00","32,500.00","32,525.00","4.24K","-3.66%"
"2022년 04월 28일","32,977.00","33,300.00","33,275.00","33,300.00","2.98K","-0.97%"
"2022년 04월 27일","33,300.00","33,250.00","33,200.00","33,200.00","2.80K","0.68%"
"2022년 04월 26일","33,076.00","32,750.00","32,700.00","32,650.00","3.29K","1.35%"
"2022년 04월 25일","32,636.00","32,650.00","32,500.00","32,505.00","3.69K","-1.42%"
"2022년 04월 22일","33,107.00","34,000.00","33,900.00","33,925.00","-","-2.37%"
"2022년 04월 21일","33,911.00","33,850.00","33,800.00","33,800.00","2.77K","1.21%"
"2022년 04월 20일","33,505.00","33,800.00","33,750.00","33,750.00","4.71K","-0.78%"
"2022년 04월 19일","33,768.00","33,850.00","33,725.00","33,725.00","5.70K","1.79%"
"2022년 04월 14일","33,175.00","33,250.00","33,200.00","33,200.00","3.22K","0.59%"
"2022년 04월 13일","32,981.00","32,900.00","32,925.00","32,900.00","3.88K","1.52%"
"2022년 04월 12일","32,488.00","33,600.00","32,400.00","32,450.00","5.85K","0.02%"
"2022년 04월 11일","32,483.00","32,900.00","32,800.00","32,850.00","4.39K","-4.05%"
"2022년 04월 08일","33,855.00","34,100.00","33,950.00","34,000.00","4.52K","0.47%"
"2022년 04월 07일","33,698.00","33,475.00","33,425.00","33,475.00","4.83K","0.69%"
"2022년 04월 06일","33,467.00","33,540.00","33,470.00","33,520.00","5.90K","0.47%"
"2022년 04월 05일","33,312.00","33,900.00","33,725.00","33,775.00","4.24K","0.20%"
"2022년 04월 04일","33,245.00","33,700.00","33,550.00","33,600.00","3.85K","0.07%"
"2022년 04월 01일","33,223.00","32,650.00","32,700.00","32,650.00","5.29K","3.48%"
"2022년 03월 31일","32,107.00","33,500.00","33,300.00","33,350.00","6.23K","-2.39%"
"2022년 03월 30일","32,893.00","32,900.00","32,645.00","32,650.00","4.32K","3.43%"
"2022년 03월 29일","31,803.00","32,900.00","32,650.00","32,700.00","9.05K","-2.82%"
"2022년 03월 28일","32,725.00","34,000.00","34,040.00","34,000.00","4.92K","-7.79%"
"2022년 03월 25일","35,491.00","36,000.00","35,950.00","36,000.00","12.94K","-4.21%"
"2022년 03월 24일","37,049.50","35,964.50","37,234.50","35,964.50","-","14.42%"
"2022년 03월 23일","32,380.00","32,380.00","32,380.00","32,380.00","12.12K","14.99%"
"2022년 03월 22일","28,159.00","28,375.00","29,900.00","28,375.00","53.70K","-10.84%"
"2022년 03월 21일","31,582.50","31,379.50","31,582.50","31,379.50","-","-14.44%"
"2022년 03월 18일","36,914.50","36,864.50","36,914.50","36,864.50","-","-11.99%"
"2022년 03월 17일","41,944.50","41,944.50","41,944.50","41,944.50","-","-8.00%"
"2022년 03월 16일","45,590.00","45,590.00","45,589.50","41,979.50","1.00K","-5.09%"
"2022년 03월 10일","48,033.00","48,033.00","48,033.00","48,033.00","-","-0.03%"
"2022년 03월 09일","48,048.00","50,271.50","50,271.50","50,271.50","-","-40.72%"
"2022년 03월 08일","81,051.50","81,066.50","86,791.50","81,031.50","-","68.58%"
"2022년 03월 07일","48,078.00","42,200.00","42,100.00","42,200.00","74.25K","66.25%"
"2022년 03월 04일","28,919.00","28,600.00","28,650.00","28,600.00","36.07K","7.52%"
"2022년 03월 03일","26,897.00","27,980.00","27,970.00","27,980.00","32.40K","3.93%"
"2022년 03월 02일","25,879.00","26,350.00","26,300.00","26,350.00","22.11K","3.09%"
"2022년 03월 01일","25,103.00","24,900.00","24,875.00","24,900.00","15.92K","3.38%"
"2022년 02월 28일","24,282.00","24,750.00","24,745.00","24,750.00","21.93K","-0.32%"
"2022년 02월 25일","24,361.00","24,240.00","24,225.00","24,240.00","24.14K","-1.44%"
"2022년 02월 24일","24,716.00","25,650.00","25,625.00","25,650.00","37.51K","1.31%"
"2022년 02월 23일","24,396.00","24,600.00","24,575.00","24,600.00","17.38K","-0.66%"
"2022년 02월 22일","24,558.00","24,950.00","24,850.00","24,830.00","23.69K","0.86%"
"2022년 02월 21일","24,349.00","24,350.00","24,325.00","24,350.00","13.15K","0.85%"
