"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 05월 13일","100.53","99.93","100.53","99.90","17.72K","0.42%"
"2022년 05월 12일","100.10","100.30","100.50","99.88","0.29K","-0.81%"
"2022년 05월 11일","100.92","100.60","100.95","100.28","0.24K","-0.16%"
"2022년 05월 10일","101.08","101.53","101.78","100.30","0.30K","0.20%"
"2022년 05월 09일","100.88","101.42","101.42","100.28","0.58K","-1.29%"
"2022년 05월 06일","102.20","102.50","102.85","101.70","0.50K","-0.58%"
"2022년 05월 05일","102.80","102.50","102.97","102.05","0.17K","0.19%"
"2022년 05월 04일","102.60","100.30","102.70","100.30","0.42K","2.83%"
"2022년 05월 03일","99.78","100.17","101.28","99.00","0.56K","-0.10%"
"2022년 05월 02일","99.88","100.70","101.47","97.88","0.58K","-1.01%"
"2022년 04월 29일","100.90","103.47","103.47","100.58","1.04K","-2.95%"
"2022년 04월 28일","103.97","104.03","104.53","102.58","0.29K","-0.19%"
"2022년 04월 27일","104.17","105.40","105.78","103.90","0.39K","-0.98%"
"2022년 04월 26일","105.20","107.75","108.12","104.72","0.53K","-2.41%"
"2022년 04월 25일","107.80","110.60","110.72","107.10","0.50K","-3.62%"
"2022년 04월 22일","111.85","110.85","112.78","110.40","0.71K","0.90%"
"2022년 04월 21일","110.85","112.28","112.67","110.03","0.28K","-1.44%"
"2022년 04월 20일","112.47","114.50","114.50","112.05","0.40K","-1.94%"
"2022년 04월 19일","114.70","115.62","117.05","114.50","0.57K","-1.57%"
"2022년 04월 18일","116.53","112.75","116.70","112.75","0.24K","16.67%"
"2022년 04월 14일","99.88","99.95","99.97","99.72","0.94K","-0.02%"
"2022년 04월 13일","99.90","99.85","99.92","99.45","2.34K","0.28%"
"2022년 04월 12일","99.62","98.75","99.80","98.67","2.01K","1.22%"
"2022년 04월 11일","98.42","98.80","98.85","98.20","2.09K","-0.62%"
"2022년 04월 08일","99.03","99.00","99.17","98.33","2.10K","-0.02%"
"2022년 04월 07일","99.05","99.00","99.45","98.10","3.92K","0.30%"
"2022년 04월 06일","98.75","98.33","98.92","97.47","4.37K","1.11%"
"2022년 04월 05일","97.67","100.08","100.20","96.58","5.78K","-1.79%"
"2022년 04월 04일","99.45","101.08","101.20","99.25","7.09K","-1.83%"
"2022년 04월 01일","101.30","102.10","102.75","101.17","4.74K","-0.44%"
"2022년 03월 31일","101.75","105.85","105.85","101.65","7.00K","-2.66%"
"2022년 03월 30일","104.53","105.17","105.85","104.30","6.87K","-1.43%"
"2022년 03월 29일","106.05","106.58","106.67","105.10","6.10K","-1.42%"
"2022년 03월 28일","107.58","107.85","108.45","106.53","6.48K","0.10%"
