"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 05월 13일","1,646.50","1,614.75","1,651.50","1,614.00","-","2.03%"
"2022년 05월 12일","1,613.75","1,607.50","1,627.25","1,590.25","-","0.44%"
"2022년 05월 11일","1,606.75","1,593.50","1,615.00","1,587.50","-","0.91%"
"2022년 05월 10일","1,592.25","1,589.00","1,605.00","1,580.50","-","0.44%"
"2022년 05월 09일","1,585.25","1,623.75","1,626.00","1,578.00","96.28K","-2.21%"
"2022년 05월 08일","1,621.00","1,621.00","1,621.00","1,621.00","-","-0.06%"
"2022년 05월 06일","1,622.00","1,649.50","1,650.00","1,618.00","74.87K","-1.52%"
"2022년 05월 05일","1,647.00","1,643.00","1,667.00","1,640.00","81.21K","0.05%"
"2022년 05월 04일","1,646.12","1,633.50","1,646.12","1,622.00","-","0.96%"
"2022년 05월 03일","1,630.50","1,649.50","1,662.75","1,629.00","-","-0.90%"
"2022년 05월 02일","1,645.25","1,684.50","1,688.75","1,635.00","98.83K","-2.38%"
"2022년 04월 29일","1,685.38","1,686.25","1,704.38","1,679.25","-","0.04%"
"2022년 04월 28일","1,684.75","1,694.25","1,700.00","1,681.25","-","-0.47%"
"2022년 04월 27일","1,692.75","1,673.25","1,698.00","1,665.50","119.53K","1.22%"
"2022년 04월 26일","1,672.38","1,675.62","1,696.38","1,662.25","-","-0.17%"
"2022년 04월 25일","1,675.25","1,687.00","1,695.50","1,656.50","-","-2.37%"
"2022년 04월 22일","1,716.00","1,747.50","1,757.50","1,704.25","-","-1.84%"
"2022년 04월 21일","1,748.25","1,747.50","1,752.75","1,728.25","-","0.09%"
"2022년 04월 20일","1,746.75","1,718.00","1,750.00","1,714.50","-","1.76%"
"2022년 04월 19일","1,716.50","1,712.00","1,730.00","1,705.25","-","0.10%"
"2022년 04월 18일","1,714.75","1,688.75","1,720.50","1,688.50","-","2.01%"
"2022년 04월 15일","1,681.00","1,681.00","1,681.00","1,681.00","-","-0.07%"
"2022년 04월 14일","1,682.25","1,678.50","1,692.50","1,670.00","78.74K","0.37%"
"2022년 04월 13일","1,676.00","1,672.25","1,681.25","1,652.00","-","0.34%"
"2022년 04월 12일","1,670.25","1,658.75","1,682.75","1,657.00","-","0.91%"
"2022년 04월 11일","1,655.25","1,691.00","1,697.50","1,651.50","-","-2.00%"
"2022년 04월 08일","1,689.00","1,647.75","1,689.75","1,645.50","-","2.64%"
"2022년 04월 07일","1,645.50","1,620.00","1,652.75","1,614.75","-","1.65%"
"2022년 04월 06일","1,618.75","1,622.50","1,642.88","1,615.00","-","-0.75%"
"2022년 04월 05일","1,631.00","1,605.00","1,635.25","1,604.25","-","1.79%"
"2022년 04월 04일","1,602.25","1,584.00","1,606.00","1,576.75","-","1.23%"
"2022년 04월 01일","1,582.75","1,620.75","1,628.50","1,580.75","-","-2.19%"
"2022년 03월 31일","1,618.25","1,666.75","1,680.00","1,613.50","-","-2.75%"
"2022년 03월 30일","1,664.00","1,644.00","1,683.75","1,638.75","-","1.28%"
"2022년 03월 29일","1,643.00","1,662.50","1,673.00","1,622.00","-","-1.28%"
"2022년 03월 28일","1,664.25","1,703.00","1,710.00","1,661.00","-","-2.69%"
"2022년 03월 25일","1,710.25","1,702.00","1,714.25","1,684.75","-","0.56%"
"2022년 03월 24일","1,700.75","1,722.25","1,730.00","1,697.50","-","-1.05%"
"2022년 03월 23일","1,718.75","1,695.50","1,736.50","1,691.00","-","1.31%"
"2022년 03월 22일","1,696.50","1,692.75","1,720.75","1,686.00","-","0.33%"
"2022년 03월 21일","1,691.00","1,673.00","1,710.00","1,666.75","-","1.38%"
"2022년 03월 18일","1,668.00","1,669.75","1,689.00","1,651.50","-","-0.03%"
"2022년 03월 17일","1,668.50","1,649.25","1,677.50","1,647.25","-","1.17%"
"2022년 03월 16일","1,649.25","1,661.00","1,681.25","1,645.25","-","-0.57%"
"2022년 03월 15일","1,658.75","1,674.00","1,674.00","1,638.00","-","-1.69%"
"2022년 03월 14일","1,687.25","1,708.00","1,710.00","1,705.00","-","-0.21%"
"2022년 03월 11일","1,690.75","1,706.50","1,707.25","1,680.75","-","-0.54%"
"2022년 03월 10일","1,700.00","1,687.75","1,716.25","1,681.25","-","0.80%"
"2022년 03월 09일","1,686.50","1,727.75","1,745.25","1,684.50","-","-1.06%"
"2022년 03월 08일","1,704.50","1,674.50","1,708.00","1,674.25","-","1.81%"
"2022년 03월 07일","1,674.25","1,696.50","1,706.25","1,675.00","-","-0.12%"
"2022년 03월 04일","1,676.25","1,684.00","1,700.25","1,659.25","-","-0.24%"
"2022년 03월 03일","1,680.25","1,690.25","1,707.50","1,683.50","-","0.16%"
"2022년 03월 02일","1,677.50","1,708.00","1,708.00","1,668.00","-","-1.64%"
"2022년 03월 01일","1,705.50","1,648.25","1,709.00","1,648.25","-","3.73%"
"2022년 02월 28일","1,644.25","1,642.50","1,660.75","1,621.00","-","3.40%"
"2022년 02월 25일","1,590.25","1,661.50","1,678.50","1,585.50","-","-4.29%"
"2022년 02월 24일","1,661.50","1,676.25","1,765.00","1,656.00","-","-0.81%"
"2022년 02월 23일","1,675.00","1,637.50","1,679.50","1,636.50","-","2.45%"
"2022년 02월 22일","1,635.00","1,609.00","1,641.25","1,602.25","-","2.35%"
"2022년 02월 21일","1,597.50","1,596.50","1,598.00","1,596.50","-","-0.03%"
"2022년 02월 20일","1,598.00","1,599.25","1,599.25","1,598.00","-","-0.22%"
"2022년 02월 18일","1,601.50","1,590.50","1,608.50","1,587.50","107.15K","0.60%"
"2022년 02월 17일","1,592.00","1,585.25","1,606.00","1,576.50","-","0.28%"
"2022년 02월 16일","1,587.50","1,552.25","1,589.75","1,547.00","-","2.34%"
"2022년 02월 15일","1,551.25","1,569.25","1,577.00","1,542.25","-","-1.19%"
"2022년 02월 14일","1,570.00","1,587.00","1,599.50","1,551.50","-","-0.82%"
"2022년 02월 11일","1,583.00","1,573.00","1,594.75","1,563.50","-","0.56%"
"2022년 02월 10일","1,574.25","1,594.75","1,633.00","1,565.50","-","-1.29%"
"2022년 02월 09일","1,594.75","1,570.50","1,599.50","1,566.50","-","1.64%"
"2022년 02월 08일","1,569.00","1,585.00","1,586.50","1,559.00","176.07K","-0.81%"
"2022년 02월 07일","1,581.75","1,571.00","1,589.50","1,565.25","-","1.82%"
"2022년 02월 04일","1,553.50","1,544.50","1,560.25","1,532.00","-","0.60%"
"2022년 02월 03일","1,544.25","1,544.00","1,560.00","1,529.00","-","-0.06%"
"2022년 02월 02일","1,545.25","1,528.00","1,564.00","1,526.00","-","1.10%"
"2022년 02월 01일","1,528.50","1,490.00","1,539.00","1,485.00","-","2.55%"
"2022년 01월 31일","1,490.50","1,474.00","1,496.75","1,473.50","-","1.39%"
"2022년 01월 28일","1,470.00","1,446.50","1,479.00","1,441.50","-","1.50%"
"2022년 01월 27일","1,448.25","1,436.00","1,456.50","1,428.50","-","0.57%"
"2022년 01월 26일","1,440.00","1,405.75","1,443.75","1,393.75","-","2.33%"
"2022년 01월 25일","1,407.25","1,405.00","1,413.75","1,393.25","-","0.30%"
"2022년 01월 24일","1,403.00","1,419.50","1,423.75","1,382.50","-","-0.80%"
"2022년 01월 21일","1,414.25","1,420.00","1,426.00","1,405.25","-","-0.81%"
"2022년 01월 20일","1,425.75","1,388.25","1,429.50","1,387.50","-","2.48%"
"2022년 01월 19일","1,391.25","1,363.50","1,392.50","1,363.50","-","2.20%"
"2022년 01월 18일","1,361.25","1,360.00","1,368.75","1,349.75","-","0.33%"
"2022년 01월 14일","1,356.75","1,376.50","1,379.88","1,363.75","0.04K","-0.62%"
"2022년 01월 13일","1,365.25","1,368.00","1,370.00","1,359.25","0.42K","-1.87%"
"2022년 01월 12일","1,391.25","1,373.50","1,391.75","1,370.00","0.29K","1.05%"
"2022년 01월 11일","1,376.75","1,378.00","1,382.00","1,365.50","0.06K","0.15%"
"2022년 01월 10일","1,374.75","1,394.00","1,396.00","1,374.75","-","-1.91%"
"2022년 01월 07일","1,401.50","1,373.50","1,405.50","1,368.00","-","1.76%"
"2022년 01월 06일","1,377.25","1,380.00","1,382.00","1,363.00","-","-0.51%"
"2022년 01월 05일","1,384.25","1,377.75","1,387.75","1,372.00","-","0.40%"
"2022년 01월 04일","1,378.75","1,346.00","1,380.50","1,346.00","-","2.59%"
"2022년 01월 03일","1,344.00","1,340.25","1,357.00","1,332.00","-","1.15%"
"2021년 12월 31일","1,328.75","1,328.50","1,337.75","1,328.00","-","0.08%"
"2021년 12월 30일","1,327.75","1,354.75","1,358.00","1,323.25","-","-2.12%"
"2021년 12월 29일","1,356.50","1,359.50","1,364.25","1,345.50","-","-0.20%"
"2021년 12월 28일","1,359.25","1,360.50","1,375.75","1,354.00","-","-0.24%"
"2021년 12월 27일","1,362.50","1,337.50","1,363.50","1,333.75","-","1.49%"
"2021년 12월 24일","1,342.50","1,342.50","1,342.50","1,342.50","-","0.79%"
"2021년 12월 23일","1,332.00","1,326.00","1,334.00","1,321.00","60.01K","0.24%"
"2021년 12월 22일","1,328.75","1,306.00","1,333.25","1,304.75","-","1.59%"
"2021년 12월 21일","1,308.00","1,292.00","1,313.50","1,286.50","-","1.22%"
"2021년 12월 20일","1,292.25","1,289.50","1,296.25","1,278.50","-","0.54%"
"2021년 12월 17일","1,285.25","1,276.25","1,297.50","1,274.75","-","0.63%"
"2021년 12월 16일","1,277.25","1,262.00","1,280.75","1,258.75","-","1.17%"
"2021년 12월 15일","1,262.50","1,260.00","1,266.50","1,251.00","-","0.24%"
"2021년 12월 14일","1,259.50","1,246.00","1,267.00","1,237.50","-","1.25%"
"2021년 12월 13일","1,244.00","1,271.00","1,271.00","1,243.25","-","-1.87%"
"2021년 12월 10일","1,267.75","1,264.25","1,276.50","1,259.25","-","0.26%"
"2021년 12월 09일","1,264.50","1,260.25","1,267.00","1,247.00","-","0.28%"
"2021년 12월 08일","1,261.00","1,252.25","1,264.00","1,238.25","-","0.86%"
"2021년 12월 07일","1,250.25","1,262.25","1,268.50","1,243.00","-","-0.89%"
"2021년 12월 06일","1,261.50","1,271.75","1,274.75","1,254.50","-","-0.45%"
"2021년 12월 03일","1,267.25","1,244.50","1,270.00","1,244.25","-","1.85%"
"2021년 12월 02일","1,244.25","1,229.75","1,249.00","1,221.00","-","1.30%"
"2021년 12월 01일","1,228.25","1,222.00","1,237.00","1,216.25","105.48K","0.90%"
"2021년 11월 30일","1,217.25","1,241.50","1,244.75","1,214.25","-","-1.95%"
"2021년 11월 29일","1,241.50","1,260.75","1,268.50","1,240.75","-","-0.90%"
"2021년 11월 26일","1,252.75","1,252.00","1,254.00","1,240.25","-","-1.09%"
"2021년 11월 24일","1,266.50","1,273.75","1,281.00","1,263.25","72.91K","-0.51%"
"2021년 11월 23일","1,273.00","1,274.25","1,279.25","1,263.00","-","-0.10%"
"2021년 11월 22일","1,274.25","1,264.25","1,279.50","1,260.00","-","0.87%"
"2021년 11월 19일","1,263.25","1,265.50","1,277.25","1,257.00","-","-0.18%"
"2021년 11월 18일","1,265.50","1,276.12","1,287.38","1,262.88","-","-0.90%"
"2021년 11월 17일","1,277.00","1,252.00","1,289.25","1,250.75","-","2.06%"
"2021년 11월 16일","1,251.25","1,255.75","1,261.50","1,248.50","-","-0.48%"
"2021년 11월 15일","1,257.25","1,242.25","1,259.75","1,238.00","-","1.88%"
"2021년 11월 12일","1,234.00","1,215.00","1,237.75","1,215.00","-","1.79%"
"2021년 11월 11일","1,212.25","1,204.50","1,217.00","1,200.00","-","0.73%"
"2021년 11월 10일","1,203.50","1,200.00","1,209.75","1,198.50","-","0.33%"
"2021년 11월 09일","1,199.50","1,178.00","1,213.75","1,171.25","-","1.83%"
"2021년 11월 08일","1,178.00","1,190.00","1,196.00","1,177.75","-","-1.20%"
"2021년 11월 05일","1,192.25","1,210.00","1,211.25","1,191.00","0.78K","-1.41%"
"2021년 11월 04일","1,209.25","1,230.50","1,233.25","1,205.50","2.68K","-1.81%"
"2021년 11월 03일","1,231.50","1,242.25","1,245.00","1,228.50","1.26K","-1.00%"
"2021년 11월 02일","1,244.00","1,236.50","1,250.25","1,234.75","2.00K","0.59%"
"2021년 11월 01일","1,236.75","1,236.25","1,246.50","1,225.00","3.90K","0.08%"
"2021년 10월 29일","1,235.75","1,230.25","1,242.00","1,227.75","10.99K","0.16%"
"2021년 10월 28일","1,233.75","1,238.50","1,249.50","1,229.50","73.20K","-0.44%"
"2021년 10월 27일","1,239.25","1,237.25","1,257.50","1,227.00","122.47K","0.10%"
"2021년 10월 26일","1,238.00","1,236.25","1,246.25","1,230.00","94.35K","0.06%"
"2021년 10월 25일","1,237.25","1,218.75","1,238.25","1,216.00","137.47K","1.37%"
"2021년 10월 22일","1,220.50","1,224.00","1,230.50","1,217.00","176.32K","-0.29%"
"2021년 10월 21일","1,224.00","1,243.25","1,249.50","1,222.00","105.79K","-1.73%"
"2021년 10월 20일","1,245.50","1,227.75","1,249.50","1,224.75","134.40K","1.43%"
"2021년 10월 19일","1,228.00","1,220.50","1,239.25","1,216.25","139.46K","0.53%"
"2021년 10월 18일","1,221.50","1,218.00","1,225.25","1,210.00","99.06K","0.31%"
"2021년 10월 15일","1,217.75","1,205.75","1,221.00","1,202.00","111.81K","0.95%"
"2021년 10월 14일","1,206.25","1,196.00","1,207.75","1,193.50","127.04K","0.92%"
"2021년 10월 13일","1,195.25","1,198.50","1,211.25","1,184.50","186.73K","-0.25%"
"2021년 10월 12일","1,198.25","1,226.50","1,230.75","1,194.75","183.78K","-2.44%"
"2021년 10월 11일","1,228.25","1,240.50","1,251.25","1,227.00","112.21K","-1.19%"
"2021년 10월 08일","1,243.00","1,246.50","1,262.50","1,242.00","143.59K","-0.34%"
"2021년 10월 07일","1,247.25","1,242.00","1,249.50","1,233.50","120.77K","0.42%"
"2021년 10월 06일","1,242.00","1,250.00","1,255.50","1,239.25","83.89K","-0.68%"
"2021년 10월 05일","1,250.50","1,234.25","1,256.25","1,231.00","119.39K","1.19%"
"2021년 10월 04일","1,235.75","1,242.75","1,247.75","1,235.00","111.36K","-0.86%"
"2021년 10월 01일","1,246.50","1,255.00","1,262.25","1,242.00","117.45K","-0.76%"
"2021년 09월 30일","1,256.00","1,282.00","1,295.00","1,249.00","202.39K","-2.16%"
"2021년 09월 29일","1,283.75","1,276.25","1,288.50","1,272.75","91.81K","0.53%"
"2021년 09월 28일","1,277.00","1,286.75","1,287.00","1,275.00","88.02K","-0.82%"
"2021년 09월 27일","1,287.50","1,284.00","1,297.00","1,282.00","96.61K","0.19%"
"2021년 09월 24일","1,285.00","1,283.25","1,290.00","1,278.25","64.91K","0.06%"
"2021년 09월 23일","1,284.25","1,282.50","1,290.25","1,275.75","70.61K","0.12%"
"2021년 09월 22일","1,282.75","1,274.50","1,285.00","1,270.25","75.67K","0.69%"
"2021년 09월 21일","1,274.00","1,263.00","1,275.50","1,257.50","78.94K","0.91%"
"2021년 09월 20일","1,262.50","1,285.00","1,286.00","1,262.00","94.11K","-1.67%"
"2021년 09월 17일","1,284.00","1,295.50","1,298.50","1,278.25","72.39K","-0.93%"
"2021년 09월 16일","1,296.00","1,296.50","1,308.00","1,291.25","75.85K","0.12%"
"2021년 09월 15일","1,294.50","1,283.50","1,296.00","1,276.00","91.39K","1.41%"
"2021년 09월 14일","1,276.50","1,283.50","1,283.50","1,279.00","0.05K","0.31%"
"2021년 09월 13일","1,272.50","1,271.75","1,271.75","1,271.75","0.02K","-0.22%"
"2021년 09월 10일","1,275.25","1,261.25","1,280.50","1,259.00","0.05K","1.31%"
"2021년 09월 09일","1,258.75","1,260.00","1,267.25","1,258.00","0.18K","-0.94%"
"2021년 09월 08일","1,270.75","1,270.75","1,272.25","1,269.50","0.03K","0.16%"
"2021년 09월 07일","1,268.75","1,288.00","1,292.00","1,274.00","0.03K","-1.79%"
"2021년 09월 06일","1,291.88","1,291.88","1,291.88","1,291.88","-","0.69%"
"2021년 09월 03일","1,283.00","1,290.50","1,290.50","1,283.50","0.06K","0.29%"
"2021년 09월 02일","1,279.25","1,275.50","1,284.00","1,269.25","0.35K","0.12%"
"2021년 09월 01일","1,277.75","1,291.50","1,291.50","1,272.50","0.66K","-1.62%"
"2021년 08월 31일","1,298.75","1,310.00","1,312.75","1,293.00","1.68K","-0.46%"
"2021년 08월 30일","1,304.75","1,357.25","1,359.25","1,297.00","7.25K","-4.01%"
"2021년 08월 27일","1,359.25","1,364.25","1,368.25","1,324.00","16.51K","-0.60%"
"2021년 08월 26일","1,367.50","1,345.00","1,373.75","1,341.50","23.77K","1.60%"
"2021년 08월 25일","1,346.00","1,337.00","1,355.50","1,329.00","24.44K","0.67%"
"2021년 08월 24일","1,337.00","1,301.25","1,343.50","1,294.25","25.60K","3.32%"
"2021년 08월 23일","1,294.00","1,293.00","1,311.75","1,290.50","13.92K","0.02%"
"2021년 08월 20일","1,293.75","1,324.25","1,337.25","1,281.50","18.27K","-2.21%"
"2021년 08월 19일","1,323.00","1,358.00","1,358.00","1,316.75","17.63K","-2.60%"
"2021년 08월 18일","1,358.25","1,370.00","1,372.75","1,352.75","10.18K","-0.79%"
"2021년 08월 17일","1,369.00","1,379.50","1,386.50","1,365.00","12.02K","-0.51%"
"2021년 08월 16일","1,376.00","1,373.25","1,385.50","1,367.75","13.44K","-3.39%"
"2021년 08월 13일","1,424.25","1,408.75","1,434.50","1,408.75","0.04K","1.62%"
"2021년 08월 12일","1,401.50","1,411.00","1,428.75","1,394.75","0.04K","-0.28%"
"2021년 08월 11일","1,405.50","1,448.50","1,466.00","1,403.00","0.29K","-2.90%"
"2021년 08월 10일","1,447.50","1,439.50","1,460.75","1,439.50","0.81K","0.96%"
"2021년 08월 09일","1,433.75","1,426.00","1,443.75","1,418.50","0.45K","0.81%"
"2021년 08월 06일","1,422.25","1,398.50","1,421.75","1,398.50","0.96K","1.41%"
"2021년 08월 05일","1,402.50","1,403.50","1,415.00","1,393.50","1.25K","-0.07%"
"2021년 08월 04일","1,403.50","1,390.25","1,406.50","1,390.25","2.84K","0.81%"
"2021년 08월 03일","1,392.25","1,409.00","1,412.00","1,380.50","2.29K","-1.87%"
"2021년 08월 02일","1,418.75","1,419.25","1,425.50","1,404.00","1.15K","0.28%"
"2021년 07월 30일","1,414.75","1,435.00","1,441.00","1,405.75","2.97K","-1.36%"
"2021년 07월 29일","1,434.25","1,431.75","1,449.75","1,427.75","17.95K","0.16%"
"2021년 07월 28일","1,432.00","1,422.75","1,435.75","1,410.50","21.55K","0.97%"
"2021년 07월 27일","1,418.25","1,419.25","1,442.75","1,412.50","22.13K","0.39%"
"2021년 07월 26일","1,412.75","1,405.00","1,415.50","1,380.00","25.88K","0.84%"
"2021년 07월 23일","1,401.00","1,418.25","1,419.75","1,396.00","23.50K","-1.08%"
"2021년 07월 22일","1,416.25","1,439.75","1,440.25","1,391.25","30.71K","-1.60%"
"2021년 07월 21일","1,439.25","1,449.25","1,451.50","1,428.75","21.43K","-0.29%"
"2021년 07월 20일","1,443.50","1,434.25","1,452.75","1,429.25","33.66K","1.09%"
"2021년 07월 19일","1,428.00","1,475.00","1,480.00","1,426.25","24.48K","-1.84%"
"2021년 07월 16일","1,454.75","1,449.50","1,473.75","1,444.00","31.63K","0.50%"
"2021년 07월 15일","1,447.50","1,453.25","1,461.00","1,440.75","30.13K","-1.38%"
"2021년 07월 14일","1,467.75","1,438.00","1,475.75","1,438.00","0.03K","2.07%"
"2021년 07월 13일","1,438.00","1,436.00","1,449.25","1,434.00","0.17K","0.38%"
"2021년 07월 12일","1,432.50","1,408.75","1,432.00","1,408.75","0.11K","2.03%"
"2021년 07월 09일","1,404.00","1,387.50","1,404.50","1,387.50","0.33K","0.99%"
"2021년 07월 08일","1,390.25","1,380.75","1,398.75","1,380.75","0.51K","0.27%"
"2021년 07월 07일","1,386.50","1,399.00","1,402.00","1,366.75","0.80K","1.67%"
"2021년 07월 06일","1,363.75","1,420.00","1,420.00","1,353.00","0.59K","-6.06%"
"2021년 07월 02일","1,451.75","1,447.00","1,465.00","1,441.75","1.54K","0.35%"
"2021년 07월 01일","1,446.75","1,450.25","1,480.00","1,438.00","2.18K","-0.22%"
"2021년 06월 30일","1,450.00","1,360.00","1,454.25","1,336.25","4.56K","6.64%"
"2021년 06월 29일","1,359.75","1,370.00","1,372.50","1,348.00","20.51K","0.20%"
"2021년 06월 28일","1,357.00","1,329.75","1,365.50","1,326.00","51.28K","2.05%"
"2021년 06월 25일","1,329.75","1,369.50","1,384.75","1,325.75","97.44K","-3.03%"
"2021년 06월 24일","1,371.25","1,382.50","1,385.00","1,345.75","57.35K","-0.99%"
