"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 05월 13일","19.17","18.72","19.20","18.68","63.36K","2.84%"
"2022년 05월 12일","18.64","18.47","18.71","18.30","58.51K","0.49%"
"2022년 05월 11일","18.55","18.62","18.73","18.44","48.90K","0.05%"
"2022년 05월 10일","18.54","18.65","18.77","18.51","47.29K","-0.64%"
"2022년 05월 09일","18.66","19.00","19.03","18.56","54.43K","-2.61%"
"2022년 05월 06일","19.16","18.84","19.21","18.57","59.75K","2.02%"
"2022년 05월 05일","18.78","18.74","18.88","18.61","47.63K","0.86%"
"2022년 05월 04일","18.62","18.70","18.91","18.54","57.01K","-0.21%"
"2022년 05월 03일","18.66","18.87","18.91","18.59","-","-1.01%"
"2022년 05월 02일","18.85","19.07","19.10","18.69","47.98K","-1.57%"
"2022년 04월 29일","19.15","19.25","19.40","19.12","43.06K","-0.26%"
"2022년 04월 28일","19.20","18.94","19.30","18.75","-","1.59%"
"2022년 04월 27일","18.90","18.91","19.26","18.73","60.53K","-0.16%"
"2022년 04월 26일","18.93","18.93","19.14","18.83","48.97K","-0.11%"
"2022년 04월 25일","18.95","19.15","19.15","18.87","27.41K","-1.51%"
"2022년 04월 22일","19.24","19.80","19.85","19.21","30.86K","-3.17%"
"2022년 04월 21일","19.87","19.70","19.94","19.57","35.39K","1.27%"
"2022년 04월 20일","19.62","19.80","19.85","19.61","30.97K","-0.61%"
"2022년 04월 19일","19.74","20.20","20.21","19.72","49.26K","-2.57%"
"2022년 04월 18일","20.26","20.14","20.32","19.98","45.14K","1.00%"
"2022년 04월 14일","20.06","20.15","20.35","19.91","49.30K","-0.20%"
"2022년 04월 13일","20.10","20.22","20.51","20.02","90.25K","-0.59%"
"2022년 04월 12일","20.22","20.39","20.48","20.16","126.56K","-0.44%"
"2022년 04월 11일","20.31","20.33","20.37","20.06","109.51K","-0.49%"
"2022년 04월 08일","20.41","19.93","20.45","19.84","128.05K","2.87%"
"2022년 04월 07일","19.84","19.60","20.04","19.59","114.82K","1.28%"
"2022년 04월 06일","19.59","19.70","19.76","19.45","68.33K","-0.31%"
"2022년 04월 05일","19.65","19.71","19.81","19.54","50.77K","0.20%"
"2022년 04월 04일","19.61","19.37","19.77","19.37","62.24K","1.24%"
"2022년 04월 01일","19.37","19.42","19.52","19.25","52.11K","-0.62%"
"2022년 03월 31일","19.49","19.31","19.54","19.24","44.98K","0.10%"
"2022년 03월 30일","19.47","19.23","19.59","19.20","45.84K","1.88%"
"2022년 03월 29일","19.11","19.59","19.60","18.84","78.67K","-2.45%"
"2022년 03월 28일","19.59","19.52","19.64","19.37","43.45K","-0.10%"
"2022년 03월 25일","19.61","19.31","19.65","19.21","46.72K","1.82%"
"2022년 03월 24일","19.26","19.21","19.50","19.20","38.14K","0.10%"
"2022년 03월 23일","19.24","19.15","19.37","19.03","30.22K","0.47%"
"2022년 03월 22일","19.15","19.33","19.33","19.12","32.13K","-0.67%"
"2022년 03월 21일","19.28","19.00","19.34","18.98","36.34K","1.85%"
"2022년 03월 18일","18.93","18.74","19.00","18.57","28.29K","1.28%"
"2022년 03월 17일","18.69","18.62","18.97","18.56","31.33K","0.70%"
"2022년 03월 16일","18.56","18.80","18.85","18.51","32.29K","-0.91%"
"2022년 03월 15일","18.73","18.85","18.90","18.57","57.42K","-2.09%"
"2022년 03월 14일","19.13","19.20","19.20","19.00","36.32K","-0.57%"
"2022년 03월 11일","19.24","19.12","19.29","18.87","45.90K","0.73%"
"2022년 03월 10일","19.10","19.02","19.59","18.96","81.54K","0.84%"
"2022년 03월 09일","18.94","19.43","19.63","18.91","75.19K","-2.52%"
"2022년 03월 08일","19.43","19.20","19.73","19.01","68.66K","0.83%"
"2022년 03월 07일","19.27","19.58","19.89","19.22","100.18K","-0.41%"
"2022년 03월 04일","19.35","18.90","19.48","18.81","101.32K","2.22%"
"2022년 03월 03일","18.93","18.65","18.98","18.45","75.75K","1.56%"
"2022년 03월 02일","18.64","18.50","18.67","18.28","72.44K","1.64%"
"2022년 03월 01일","18.34","17.72","18.43","17.70","80.07K","1.89%"
"2022년 02월 28일","18.00","18.19","18.19","17.84","10.64K","0.06%"
"2022년 02월 25일","17.99","18.33","18.38","17.95","25.00K","-1.80%"
"2022년 02월 24일","18.32","18.69","18.87","18.25","37.97K","-1.13%"
"2022년 02월 23일","18.53","18.48","18.60","18.45","37.00K","0.27%"
"2022년 02월 22일","18.48","18.30","18.50","18.27","46.94K","1.54%"
"2022년 02월 18일","18.20","18.25","18.48","18.11","31.30K","-0.44%"
"2022년 02월 17일","18.28","18.05","18.35","18.05","28.63K","1.16%"
"2022년 02월 16일","18.07","18.15","18.25","18.04","49.15K","0.00%"
"2022년 02월 15일","18.07","18.19","18.27","17.96","91.62K","-0.28%"
"2022년 02월 14일","18.12","18.22","18.40","18.01","41.01K","-0.77%"
"2022년 02월 11일","18.26","18.23","18.35","18.07","69.32K","-0.22%"
"2022년 02월 10일","18.30","18.48","18.54","18.22","75.25K","-0.97%"
"2022년 02월 09일","18.48","18.08","18.68","18.02","165.37K","2.21%"
"2022년 02월 08일","18.08","18.01","18.14","17.84","66.92K","0.17%"
"2022년 02월 07일","18.05","18.16","18.30","17.97","60.63K","-0.99%"
"2022년 02월 04일","18.23","18.01","18.30","17.98","75.86K","1.33%"
"2022년 02월 03일","17.99","17.93","18.12","17.77","61.92K","0.33%"
"2022년 02월 02일","17.93","18.50","18.50","17.86","82.94K","-2.98%"
"2022년 02월 01일","18.48","18.29","18.56","18.17","62.19K","1.43%"
"2022년 01월 31일","18.22","18.30","18.36","17.90","72.98K","0.11%"
"2022년 01월 28일","18.20","18.42","18.50","18.09","52.71K","-1.14%"
"2022년 01월 27일","18.41","18.39","18.53","18.31","38.29K","-0.43%"
"2022년 01월 26일","18.49","18.75","18.81","18.38","62.92K","-1.54%"
"2022년 01월 25일","18.78","18.85","18.95","18.62","52.63K","-0.16%"
"2022년 01월 24일","18.81","18.84","18.98","18.51","55.03K","-0.48%"
