"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 05월 13일","212.90","215.90","216.85","209.65","19.97K","-1.11%"
"2022년 05월 12일","215.30","217.90","218.50","212.55","18.99K","-2.09%"
"2022년 05월 11일","219.90","204.05","220.45","204.05","29.97K","7.90%"
"2022년 05월 10일","203.80","207.10","207.80","202.30","16.18K","-1.12%"
"2022년 05월 09일","206.10","210.00","212.00","203.35","23.74K","-2.07%"
"2022년 05월 06일","210.45","216.30","216.50","210.00","25.90K","-3.13%"
"2022년 05월 05일","217.25","221.00","222.90","216.10","14.91K","-1.61%"
"2022년 05월 04일","220.80","218.30","221.75","217.90","14.53K","1.31%"
"2022년 05월 03일","217.95","216.90","220.80","215.40","14.44K","0.73%"
"2022년 05월 02일","216.38","220.45","220.70","214.75","-","-2.77%"
"2022년 04월 29일","222.55","217.90","224.40","217.80","14.48K","2.27%"
"2022년 04월 28일","217.60","216.30","218.15","214.25","14.57K","0.89%"
"2022년 04월 27일","215.68","219.88","222.38","214.58","-","-2.47%"
"2022년 04월 26일","221.15","221.45","223.35","219.10","12.53K","0.16%"
"2022년 04월 25일","220.80","226.40","226.40","221.20","0.04K","-2.86%"
"2022년 04월 22일","227.30","227.50","229.65","226.00","0.07K","-0.35%"
"2022년 04월 21일","228.10","220.50","228.90","217.60","19.22K","3.94%"
"2022년 04월 20일","219.45","221.95","223.40","218.65","20.82K","-1.01%"
"2022년 04월 19일","221.70","223.35","225.15","220.10","22.40K","-0.92%"
"2022년 04월 18일","223.75","223.75","225.75","220.15","15.14K","0.07%"
"2022년 04월 14일","223.60","225.85","227.70","221.00","15.62K","-0.64%"
"2022년 04월 13일","225.05","233.85","235.00","224.65","25.95K","-3.66%"
"2022년 04월 12일","233.60","237.40","237.75","232.75","19.66K","-1.27%"
"2022년 04월 11일","236.60","231.65","237.60","230.95","28.21K","2.14%"
"2022년 04월 08일","231.65","225.15","233.00","224.80","34.34K","2.43%"
"2022년 04월 07일","226.15","229.20","230.25","224.20","29.01K","-0.64%"
"2022년 04월 06일","227.60","230.95","231.55","225.00","30.56K","-1.60%"
"2022년 04월 05일","231.30","231.70","232.25","228.80","20.02K","0.30%"
"2022년 04월 04일","230.60","227.80","231.85","226.25","20.02K","0.96%"
"2022년 04월 01일","228.40","226.00","230.40","224.80","13.42K","0.88%"
"2022년 03월 31일","226.40","222.05","227.65","220.15","18.05K","2.05%"
"2022년 03월 30일","221.85","215.55","223.20","213.10","16.24K","2.85%"
"2022년 03월 29일","215.70","215.25","217.40","214.00","12.36K","0.54%"
"2022년 03월 28일","214.55","221.75","222.95","212.50","23.42K","-3.29%"
"2022년 03월 25일","221.85","222.95","223.20","219.40","9.39K","0.00%"
"2022년 03월 24일","221.85","225.70","227.10","220.55","11.84K","-1.53%"
"2022년 03월 23일","225.30","224.20","228.65","223.20","13.00K","0.11%"
"2022년 03월 22일","225.05","224.90","227.85","223.30","14.17K","-0.35%"
"2022년 03월 21일","225.85","222.65","222.65","222.65","0.03K","2.52%"
"2022년 03월 18일","220.30","215.85","220.90","214.38","-","1.38%"
"2022년 03월 17일","217.30","216.00","218.00","216.00","0.01K","-0.59%"
"2022년 03월 16일","218.60","214.30","214.30","211.30","0.01K","2.97%"
"2022년 03월 15일","212.30","211.50","211.50","211.50","0.01K","-3.35%"
"2022년 03월 14일","219.65","220.50","224.05","218.80","0.03K","-1.48%"
"2022년 03월 11일","222.95","224.38","225.40","221.23","-","-1.00%"
"2022년 03월 10일","225.20","230.00","230.00","223.85","0.01K","-2.28%"
"2022년 03월 09일","230.45","235.20","235.55","227.75","-","-1.54%"
"2022년 03월 08일","234.05","223.20","233.40","223.20","0.01K","3.79%"
