"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 05월 13일","930.15","938.60","951.20","922.70","-","-0.91%"
"2022년 05월 12일","938.70","982.80","986.50","929.40","-","-4.49%"
"2022년 05월 11일","982.85","943.50","991.70","942.80","-","4.17%"
"2022년 05월 10일","943.55","936.30","969.90","930.75","-","0.77%"
"2022년 05월 09일","936.35","943.70","945.85","912.80","-","-0.77%"
"2022년 05월 08일","943.65","948.20","948.50","940.00","-","-0.46%"
"2022년 05월 06일","948.05","962.55","963.15","941.00","-","-1.47%"
"2022년 05월 05일","962.20","986.35","993.10","960.20","-","-2.44%"
"2022년 05월 04일","986.25","958.30","987.00","957.40","-","2.91%"
"2022년 05월 03일","958.35","932.95","966.30","929.90","-","2.73%"
"2022년 05월 02일","932.90","930.35","937.10","909.00","-","0.26%"
"2022년 05월 01일","930.45","929.10","937.00","926.35","-","-0.21%"
"2022년 04월 29일","932.45","911.75","942.40","909.30","-","2.30%"
"2022년 04월 28일","911.50","908.85","927.10","900.65","-","0.30%"
"2022년 04월 27일","908.80","916.30","929.65","896.25","-","-0.83%"
"2022년 04월 26일","916.45","912.60","921.40","901.65","-","0.39%"
"2022년 04월 25일","912.85","925.40","926.00","901.50","-","-1.37%"
"2022년 04월 24일","925.50","925.80","927.70","923.35","-","0.18%"
"2022년 04월 22일","923.80","968.05","969.10","923.10","-","-4.60%"
"2022년 04월 21일","968.30","987.30","991.30","965.10","-","-1.92%"
"2022년 04월 20일","987.25","990.20","990.80","973.50","-","-0.29%"
"2022년 04월 19일","990.15","1,016.30","1,026.40","983.55","-","-2.59%"
"2022년 04월 18일","1,016.50","1,000.55","1,024.80","1,000.10","-","1.63%"
"2022년 04월 17일","1,000.15","992.85","1,002.00","991.60","-","0.91%"
"2022년 04월 15일","991.10","991.10","991.10","991.10","-","0.00%"
"2022년 04월 14일","991.10","987.65","996.00","972.40","-","0.37%"
"2022년 04월 13일","987.45","968.65","990.90","967.90","-","1.96%"
"2022년 04월 12일","968.50","981.20","987.75","960.50","-","-1.31%"
"2022년 04월 11일","981.35","977.95","996.70","974.35","-","0.31%"
"2022년 04월 10일","978.30","976.95","982.80","976.95","-","0.25%"
"2022년 04월 08일","975.85","964.10","988.45","959.10","-","1.22%"
"2022년 04월 07일","964.05","954.90","965.00","941.45","-","1.02%"
"2022년 04월 06일","954.30","969.55","975.20","950.15","-","-1.51%"
"2022년 04월 05일","968.95","991.70","992.50","968.60","-","-2.29%"
"2022년 04월 04일","991.70","988.65","1,001.90","983.75","-","0.27%"
"2022년 04월 03일","989.00","991.85","992.30","987.55","-","0.26%"
"2022년 04월 01일","986.40","984.15","1,000.45","982.35","-","0.23%"
"2022년 03월 31일","984.15","996.55","996.55","978.00","-","-0.99%"
"2022년 03월 30일","994.00","983.50","1,004.80","979.85","-","1.15%"
"2022년 03월 29일","982.70","986.85","989.60","954.05","-","-0.41%"
"2022년 03월 28일","986.75","1,004.90","1,007.40","982.00","-","-1.76%"
"2022년 03월 27일","1,004.40","1,007.30","1,008.65","1,003.00","-","-0.17%"
"2022년 03월 25일","1,006.15","1,030.30","1,038.00","1,002.90","-","-2.34%"
"2022년 03월 24일","1,030.25","1,026.20","1,039.10","1,014.80","-","0.39%"
"2022년 03월 23일","1,026.25","1,026.20","1,033.45","1,015.60","-","0.01%"
"2022년 03월 22일","1,026.15","1,044.00","1,049.25","1,017.20","-","-1.71%"
"2022년 03월 21일","1,044.00","1,030.40","1,049.55","1,026.15","-","1.33%"
"2022년 03월 20일","1,030.30","1,029.10","1,033.55","1,028.25","-","0.11%"
"2022년 03월 18일","1,029.15","1,031.00","1,043.85","1,025.50","-","-0.23%"
"2022년 03월 17일","1,031.50","1,024.50","1,035.50","1,013.40","-","0.69%"
"2022년 03월 16일","1,024.45","986.60","1,024.90","985.45","-","3.84%"
"2022년 03월 15일","986.55","1,040.35","1,043.15","981.05","-","-5.18%"
"2022년 03월 14일","1,040.40","1,077.15","1,080.40","1,038.10","-","-3.41%"
"2022년 03월 13일","1,077.10","1,090.70","1,100.00","1,075.40","-","-1.60%"
"2022년 03월 11일","1,094.65","1,085.25","1,099.60","1,066.90","-","0.87%"
"2022년 03월 10일","1,085.20","1,102.40","1,116.60","1,080.80","-","-1.55%"
"2022년 03월 09일","1,102.30","1,174.80","1,196.70","1,089.00","-","-6.17%"
"2022년 03월 08일","1,174.75","1,132.00","1,192.95","1,120.00","-","3.75%"
"2022년 03월 07일","1,132.25","1,151.75","1,162.40","1,106.25","-","-1.69%"
"2022년 03월 06일","1,151.70","1,124.40","1,155.55","1,124.40","-","2.28%"
"2022년 03월 04일","1,126.00","1,081.75","1,129.30","1,073.50","-","4.10%"
"2022년 03월 03일","1,081.70","1,073.10","1,095.50","1,069.80","-","0.85%"
"2022년 03월 02일","1,072.60","1,059.80","1,078.00","1,051.95","-","1.21%"
"2022년 03월 01일","1,059.75","1,045.35","1,066.45","1,040.90","-","1.39%"
"2022년 02월 28일","1,045.20","1,062.60","1,070.70","1,034.55","-","-1.63%"
"2022년 02월 27일","1,062.55","1,058.40","1,078.10","1,058.40","-","0.31%"
"2022년 02월 25일","1,059.30","1,061.15","1,067.25","1,045.60","-","-0.14%"
"2022년 02월 24일","1,060.80","1,096.95","1,131.60","1,040.30","-","-3.24%"
"2022년 02월 23일","1,096.30","1,080.35","1,097.40","1,079.10","-","1.48%"
"2022년 02월 22일","1,080.30","1,086.65","1,095.80","1,077.70","-","-0.58%"
"2022년 02월 21일","1,086.55","1,079.45","1,089.40","1,070.10","-","0.68%"
"2022년 02월 20일","1,079.20","1,071.50","1,080.60","1,070.60","-","0.87%"
"2022년 02월 18일","1,069.90","1,097.55","1,100.45","1,066.75","-","-2.50%"
"2022년 02월 17일","1,097.35","1,059.45","1,097.55","1,057.80","-","3.63%"
"2022년 02월 16일","1,058.90","1,024.80","1,067.70","1,021.50","-","3.33%"
"2022년 02월 15일","1,024.75","1,029.80","1,034.70","1,005.60","-","-0.49%"
"2022년 02월 14일","1,029.80","1,038.30","1,043.95","1,020.70","-","-0.81%"
"2022년 02월 13일","1,038.25","1,030.35","1,039.15","1,025.55","-","1.18%"
"2022년 02월 11일","1,026.10","1,025.05","1,037.00","1,008.35","-","0.09%"
"2022년 02월 10일","1,025.15","1,035.05","1,058.65","1,016.25","-","-0.95%"
"2022년 02월 09일","1,035.00","1,030.60","1,043.60","1,023.40","-","0.43%"
"2022년 02월 08일","1,030.55","1,022.00","1,037.35","1,004.25","-","0.84%"
"2022년 02월 07일","1,021.95","1,027.45","1,031.40","1,010.00","-","-0.53%"
"2022년 02월 06일","1,027.40","1,023.70","1,028.80","1,023.70","-","0.10%"
"2022년 02월 04일","1,026.40","1,035.30","1,039.50","1,012.30","-","-0.86%"
"2022년 02월 03일","1,035.30","1,035.35","1,041.50","1,020.90","-","-0.00%"
"2022년 02월 02일","1,035.35","1,028.90","1,047.60","1,025.90","-","0.62%"
"2022년 02월 01일","1,029.00","1,022.20","1,048.60","1,018.85","-","0.66%"
"2022년 01월 31일","1,022.25","1,009.15","1,024.45","1,008.00","-","1.30%"
"2022년 01월 30일","1,009.10","1,012.55","1,012.55","1,007.35","-","-0.31%"
"2022년 01월 28일","1,012.25","1,023.90","1,031.20","991.50","-","-1.13%"
"2022년 01월 27일","1,023.85","1,038.65","1,038.65","1,012.50","-","-1.40%"
"2022년 01월 26일","1,038.40","1,028.40","1,064.30","1,024.40","-","0.97%"
"2022년 01월 25일","1,028.40","1,026.60","1,034.30","1,006.95","-","0.18%"
"2022년 01월 24일","1,026.55","1,035.10","1,041.75","1,003.55","-","-0.83%"
"2022년 01월 23일","1,035.10","1,030.80","1,035.10","1,027.60","-","0.33%"
"2022년 01월 21일","1,031.65","1,040.10","1,053.90","1,028.50","-","-0.79%"
"2022년 01월 20일","1,039.90","1,018.20","1,057.30","1,017.85","-","2.17%"
"2022년 01월 19일","1,017.80","977.80","1,035.50","970.35","-","4.09%"
"2022년 01월 18일","977.80","970.95","986.90","960.20","-","0.71%"
"2022년 01월 17일","970.90","966.90","974.40","962.30","-","0.42%"
"2022년 01월 16일","966.85","967.10","967.45","965.35","-","-0.02%"
"2022년 01월 14일","967.05","967.60","981.00","963.55","-","-0.06%"
"2022년 01월 13일","967.65","977.20","977.60","961.40","-","-0.97%"
"2022년 01월 12일","977.15","966.20","983.05","961.55","-","1.13%"
"2022년 01월 11일","966.25","946.15","974.80","935.35","-","2.13%"
"2022년 01월 10일","946.10","954.15","961.40","919.70","-","-0.83%"
"2022년 01월 09일","954.05","958.15","958.55","953.10","-","-0.38%"
"2022년 01월 07일","957.70","965.70","972.25","947.75","-","-0.82%"
"2022년 01월 06일","965.65","984.90","985.00","952.00","-","-1.95%"
"2022년 01월 05일","984.85","971.65","1,004.80","966.20","-","1.36%"
"2022년 01월 04일","971.60","957.35","983.55","946.40","-","1.49%"
"2022년 01월 03일","957.30","970.90","981.00","928.95","-","-1.40%"
"2022년 01월 02일","970.85","964.30","978.80","964.30","-","0.52%"
"2021년 12월 31일","965.80","964.30","968.80","949.00","-","0.22%"
"2021년 12월 30일","963.70","968.90","973.40","958.15","-","-0.53%"
"2021년 12월 29일","968.80","978.50","978.50","960.25","-","-0.99%"
"2021년 12월 28일","978.50","969.45","989.95","964.40","-","1.02%"
"2021년 12월 27일","968.60","966.90","974.00","951.55","-","0.18%"
"2021년 12월 26일","966.85","972.85","972.85","966.80","-","-0.61%"
"2021년 12월 23일","972.75","961.05","974.15","956.60","-","1.21%"
"2021년 12월 22일","961.15","928.75","970.70","924.40","-","3.51%"
"2021년 12월 21일","928.60","926.95","938.35","922.60","-","0.21%"
"2021년 12월 20일","926.70","921.80","928.55","909.90","-","0.53%"
"2021년 12월 19일","921.80","928.85","931.65","921.80","-","-0.66%"
"2021년 12월 17일","927.95","929.40","942.15","925.10","-","-0.11%"
"2021년 12월 16일","929.00","913.55","931.85","908.20","-","1.70%"
"2021년 12월 15일","913.50","915.40","918.20","886.15","-","-0.21%"
"2021년 12월 14일","915.40","923.95","928.60","903.70","-","-0.92%"
"2021년 12월 13일","923.90","940.40","949.55","921.70","-","-1.76%"
"2021년 12월 12일","940.45","937.85","942.50","937.85","-","0.34%"
"2021년 12월 10일","937.30","931.30","940.55","925.15","-","0.65%"
"2021년 12월 09일","931.25","953.50","955.35","928.70","-","-2.34%"
"2021년 12월 08일","953.55","950.00","961.00","942.70","-","0.37%"
"2021년 12월 07일","950.05","937.10","956.00","931.40","-","1.38%"
"2021년 12월 06일","937.10","934.70","939.40","916.70","-","0.26%"
"2021년 12월 05일","934.65","928.20","935.00","927.45","-","0.71%"
"2021년 12월 03일","928.10","930.15","951.60","917.95","-","-0.22%"
"2021년 12월 02일","930.15","930.40","946.80","926.95","-","-0.03%"
"2021년 12월 01일","930.40","933.40","952.90","925.00","-","-0.32%"
"2021년 11월 30일","933.35","962.15","967.00","923.00","-","-2.99%"
"2021년 11월 29일","962.10","977.45","979.40","957.40","-","-1.67%"
"2021년 11월 28일","978.40","950.50","978.40","950.50","-","2.77%"
"2021년 11월 26일","952.00","990.90","992.90","945.20","-","-3.93%"
"2021년 11월 25일","990.90","980.40","999.90","979.90","-","1.07%"
"2021년 11월 24일","980.40","979.10","984.70","965.25","-","0.13%"
"2021년 11월 23일","979.15","1,018.95","1,024.20","956.60","-","-3.90%"
"2021년 11월 22일","1,018.90","1,031.85","1,044.00","1,013.70","-","-1.23%"
"2021년 11월 21일","1,031.60","1,035.30","1,036.75","1,029.60","-","-0.35%"
"2021년 11월 19일","1,035.20","1,055.80","1,065.40","1,033.45","-","-1.96%"
"2021년 11월 18일","1,055.85","1,062.85","1,079.95","1,048.15","-","-0.64%"
"2021년 11월 17일","1,062.65","1,070.25","1,080.50","1,059.65","-","-0.71%"
"2021년 11월 16일","1,070.30","1,092.65","1,113.10","1,065.90","-","-2.00%"
"2021년 11월 15일","1,092.15","1,091.60","1,103.30","1,075.70","-","0.03%"
"2021년 11월 14일","1,091.80","1,088.30","1,092.85","1,087.20","-","0.23%"
"2021년 11월 12일","1,089.30","1,094.35","1,094.35","1,073.00","-","-0.46%"
"2021년 11월 11일","1,094.35","1,074.70","1,099.40","1,070.50","-","1.82%"
"2021년 11월 10일","1,074.80","1,062.50","1,098.90","1,054.80","-","1.15%"
"2021년 11월 09일","1,062.55","1,058.30","1,067.80","1,047.80","-","0.40%"
"2021년 11월 08일","1,058.30","1,037.60","1,066.60","1,033.40","-","1.99%"
"2021년 11월 07일","1,037.65","1,036.30","1,039.00","1,035.05","-","0.21%"
"2021년 11월 05일","1,035.45","1,031.20","1,042.60","1,022.95","-","0.45%"
"2021년 11월 04일","1,030.85","1,043.25","1,050.05","1,025.50","-","-1.18%"
"2021년 11월 03일","1,043.20","1,040.20","1,049.00","1,021.70","-","0.29%"
"2021년 11월 02일","1,040.20","1,062.90","1,064.60","1,038.70","-","-2.13%"
"2021년 11월 01일","1,062.85","1,021.50","1,070.20","1,021.15","-","4.05%"
"2021년 10월 31일","1,021.50","1,021.65","1,022.40","1,018.90","-","0.04%"
"2021년 10월 29일","1,021.10","1,022.85","1,025.75","1,005.30","-","-0.19%"
"2021년 10월 28일","1,023.05","1,012.85","1,035.40","1,009.40","-","1.01%"
"2021년 10월 27일","1,012.80","1,031.75","1,033.80","1,010.60","-","-1.85%"
"2021년 10월 26일","1,031.90","1,062.40","1,062.45","1,021.05","-","-2.81%"
"2021년 10월 25일","1,061.70","1,046.55","1,066.65","1,040.80","-","1.44%"
"2021년 10월 24일","1,046.60","1,043.60","1,046.60","1,042.40","-","0.25%"
"2021년 10월 22일","1,044.00","1,054.40","1,080.80","1,042.90","-","-0.99%"
"2021년 10월 21일","1,054.40","1,050.95","1,066.70","1,038.15","-","0.36%"
"2021년 10월 20일","1,050.65","1,042.65","1,058.00","1,036.70","-","0.77%"
"2021년 10월 19일","1,042.65","1,038.20","1,059.25","1,038.00","-","0.43%"
"2021년 10월 18일","1,038.20","1,058.15","1,058.50","1,034.80","-","-1.90%"
"2021년 10월 17일","1,058.35","1,060.85","1,062.70","1,058.20","-","0.12%"
"2021년 10월 15일","1,057.10","1,055.35","1,062.85","1,043.60","-","0.18%"
"2021년 10월 14일","1,055.20","1,021.30","1,064.05","1,015.00","-","3.32%"
"2021년 10월 13일","1,021.30","1,005.70","1,033.90","1,003.30","-","1.55%"
"2021년 10월 12일","1,005.70","1,005.10","1,020.55","1,002.00","-","0.06%"
"2021년 10월 11일","1,005.10","1,021.50","1,037.35","1,003.40","-","-1.61%"
"2021년 10월 10일","1,021.50","1,026.55","1,032.90","1,020.35","-","-0.61%"
"2021년 10월 08일","1,027.75","981.15","1,041.60","978.00","-","4.74%"
"2021년 10월 07일","981.20","982.55","997.20","981.20","-","-0.11%"
"2021년 10월 06일","982.25","959.80","988.80","939.10","-","2.34%"
"2021년 10월 05일","959.80","963.60","965.00","945.20","-","-0.39%"
"2021년 10월 04일","963.60","978.90","980.25","943.20","-","-1.52%"
