"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 05월 13일","132.00","132.35","132.70","131.30","21.25K","0.27%"
"2022년 05월 12일","131.65","133.35","133.68","131.43","34.36K","-1.44%"
"2022년 05월 11일","133.57","132.53","134.88","132.35","41.11K","0.88%"
"2022년 05월 10일","132.40","133.95","134.35","132.05","39.24K","-0.86%"
"2022년 05월 09일","133.55","132.25","133.88","131.03","44.77K","0.60%"
"2022년 05월 06일","132.75","133.93","134.05","132.62","36.11K","-0.77%"
"2022년 05월 05일","133.78","135.18","135.25","133.65","25.26K","-0.77%"
"2022년 05월 04일","134.82","135.10","136.00","134.55","22.74K","-0.37%"
"2022년 05월 03일","135.32","135.22","136.28","134.80","25.04K","0.09%"
"2022년 05월 02일","135.20","133.38","135.78","132.93","32.25K","-4.72%"
"2022년 04월 29일","141.90","138.05","141.90","138.05","0.05K","2.45%"
"2022년 04월 28일","138.50","139.15","139.57","137.78","0.26K","0.00%"
"2022년 04월 27일","138.50","140.25","140.25","138.03","0.48K","-1.07%"
"2022년 04월 26일","140.00","139.82","140.28","139.25","1.42K","0.65%"
"2022년 04월 25일","139.10","141.00","141.00","138.80","2.79K","-2.35%"
"2022년 04월 22일","142.45","143.85","143.85","142.22","3.13K","-1.15%"
"2022년 04월 21일","144.10","143.18","144.22","143.18","1.50K","0.72%"
"2022년 04월 20일","143.07","141.85","143.15","141.78","2.33K","1.22%"
"2022년 04월 19일","141.35","140.65","141.38","140.43","1.95K","0.63%"
"2022년 04월 18일","140.47","140.82","140.97","140.00","2.31K","-0.15%"
"2022년 04월 14일","140.68","140.68","140.80","140.30","1.97K","0.04%"
"2022년 04월 13일","140.62","140.28","140.85","140.25","1.72K","0.48%"
"2022년 04월 12일","139.95","139.00","140.22","138.70","3.56K","1.03%"
"2022년 04월 11일","138.53","138.00","138.65","137.60","1.49K","0.52%"
"2022년 04월 08일","137.82","138.03","138.60","137.50","2.11K","-0.13%"
"2022년 04월 07일","138.00","138.30","138.45","137.90","1.92K","0.22%"
"2022년 04월 06일","137.70","137.20","137.97","136.35","2.90K","0.66%"
"2022년 04월 05일","136.80","138.35","138.45","136.50","3.80K","-0.87%"
"2022년 04월 04일","138.00","138.50","138.97","136.95","7.66K","-0.47%"
"2022년 04월 01일","138.65","139.50","140.18","138.22","8.77K","-0.52%"
"2022년 03월 31일","139.38","140.25","140.38","139.25","9.45K","-0.57%"
"2022년 03월 30일","140.18","140.70","140.88","139.88","9.29K","-0.51%"
"2022년 03월 29일","140.90","140.57","141.12","140.10","9.64K","0.43%"
"2022년 03월 28일","140.30","140.25","140.57","139.70","7.14K","-0.12%"
"2022년 03월 25일","140.47","139.85","140.50","139.82","7.21K","0.57%"
"2022년 03월 24일","139.68","139.62","140.00","139.15","7.84K","0.18%"
"2022년 03월 23일","139.43","139.57","139.88","138.10","10.94K","0.00%"
"2022년 03월 22일","139.43","140.05","140.57","139.28","7.60K","-0.44%"
"2022년 03월 21일","140.05","140.47","141.00","139.78","8.10K","-0.32%"
"2022년 03월 18일","140.50","139.40","140.80","139.25","7.83K","0.74%"
"2022년 03월 17일","139.47","139.35","139.95","138.40","12.93K","0.09%"
"2022년 03월 16일","139.35","140.90","141.47","139.25","13.21K","-1.06%"
"2022년 03월 15일","140.85","140.40","141.15","140.03","15.42K","0.38%"
"2022년 03월 14일","140.32","137.75","140.90","137.40","24.47K","2.20%"
"2022년 03월 11일","137.30","136.00","137.70","136.00","30.42K","1.03%"
"2022년 03월 10일","135.90","137.68","137.75","135.82","31.75K","-1.21%"
"2022년 03월 09일","137.57","139.65","139.70","137.43","30.35K","-1.06%"
"2022년 03월 08일","139.05","138.18","139.95","137.82","39.30K","0.83%"
"2022년 03월 07일","137.90","135.93","138.12","135.35","38.69K","1.56%"
"2022년 03월 04일","135.78","137.95","137.97","133.50","54.35K","-1.86%"
"2022년 03월 03일","138.35","140.47","140.47","138.10","33.68K","-1.25%"
"2022년 03월 02일","140.10","141.50","141.72","139.75","33.70K","-0.31%"
"2022년 03월 01일","140.53","141.43","142.35","140.45","28.63K","0.02%"
"2022년 02월 28일","140.50","140.15","140.75","139.50","0.09K","0.88%"
"2022년 02월 25일","139.28","141.20","141.80","138.85","0.49K","-0.89%"
"2022년 02월 24일","140.53","143.00","143.00","140.10","1.71K","-1.76%"
"2022년 02월 23일","143.05","143.75","144.05","143.03","1.32K","-0.49%"
"2022년 02월 22일","143.75","143.30","144.07","143.00","0.71K","0.38%"
"2022년 02월 20일","143.20","143.20","143.20","143.20","-","-0.03%"
"2022년 02월 18일","143.25","143.55","143.55","143.07","1.83K","-0.10%"
"2022년 02월 17일","143.40","143.60","143.90","143.12","1.07K","0.20%"
"2022년 02월 16일","143.12","142.82","144.00","142.65","4.05K","0.15%"
"2022년 02월 15일","142.90","142.45","143.35","142.43","2.44K","0.33%"
"2022년 02월 14일","142.43","141.88","142.50","141.32","1.58K","0.39%"
"2022년 02월 11일","141.88","142.95","143.62","141.70","4.04K","-0.33%"
"2022년 02월 10일","142.35","142.72","143.50","142.32","4.37K","-0.38%"
"2022년 02월 09일","142.90","141.80","142.95","141.80","3.85K","0.66%"
"2022년 02월 08일","141.97","141.70","142.43","141.32","3.70K","0.11%"
"2022년 02월 07일","141.82","141.97","142.35","141.65","3.71K","-0.16%"
"2022년 02월 04일","142.05","141.57","142.07","141.20","7.63K","0.32%"
"2022년 02월 03일","141.60","141.12","141.97","140.35","9.52K","0.34%"
"2022년 02월 02일","141.12","140.62","141.47","140.60","11.01K","0.58%"
"2022년 02월 01일","140.30","140.03","140.93","139.57","10.16K","0.52%"
"2022년 01월 31일","139.57","139.12","140.05","138.85","8.37K","0.63%"
"2022년 01월 28일","138.70","138.18","138.97","137.57","7.96K","0.64%"
"2022년 01월 27일","137.82","138.12","138.25","137.50","6.96K","-0.17%"
"2022년 01월 26일","138.05","137.00","138.62","137.00","8.51K","0.69%"
"2022년 01월 25일","137.10","136.75","137.20","135.97","11.12K","0.57%"
"2022년 01월 24일","136.32","137.43","137.43","135.50","16.15K","-1.17%"
"2022년 01월 21일","137.93","138.20","138.30","137.80","9.57K","-0.28%"
"2022년 01월 20일","138.32","138.60","138.80","138.00","8.90K","-0.17%"
"2022년 01월 19일","138.55","138.15","139.15","137.85","13.30K","0.63%"
"2022년 01월 18일","137.68","137.78","138.38","137.50","12.30K","-0.12%"
"2022년 01월 16일","137.85","137.85","137.85","137.85","-","-0.09%"
"2022년 01월 14일","137.97","137.05","138.75","136.85","17.82K","0.71%"
"2022년 01월 13일","137.00","136.85","137.25","136.65","26.22K","0.31%"
"2022년 01월 12일","136.57","137.75","137.85","136.40","29.91K","-0.81%"
