"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 05월 13일","1,177.50","1,172.75","1,198.50","1,158.50","-","-0.11%"
"2022년 05월 12일","1,178.75","1,113.00","1,183.00","1,102.75","-","5.91%"
"2022년 05월 11일","1,113.00","1,094.75","1,126.50","1,094.25","-","1.85%"
"2022년 05월 10일","1,092.75","1,090.25","1,107.00","1,083.00","-","0.00%"
"2022년 05월 09일","1,092.75","1,120.75","1,135.00","1,090.00","37.35K","-2.52%"
"2022년 05월 08일","1,121.00","1,121.00","1,121.00","1,121.00","-","1.13%"
"2022년 05월 06일","1,108.50","1,102.00","1,127.50","1,087.75","39.58K","0.18%"
"2022년 05월 05일","1,106.50","1,079.00","1,121.75","1,077.25","47.81K","2.79%"
"2022년 05월 04일","1,076.50","1,047.00","1,089.00","1,042.25","44.20K","2.82%"
"2022년 05월 03일","1,047.00","1,053.62","1,068.80","1,044.25","-","-0.70%"
"2022년 05월 02일","1,054.38","1,045.25","1,071.38","1,034.25","-","-0.13%"
"2022년 04월 29일","1,055.75","1,085.00","1,102.50","1,054.25","-","-2.76%"
"2022년 04월 28일","1,085.75","1,088.00","1,106.50","1,081.00","-","-0.50%"
"2022년 04월 27일","1,091.25","1,092.50","1,097.50","1,078.25","-","-0.34%"
"2022년 04월 26일","1,095.00","1,081.00","1,107.00","1,077.00","-","1.19%"
"2022년 04월 25일","1,082.12","1,087.50","1,089.30","1,056.12","-","-0.04%"
"2022년 04월 24일","1,082.50","1,073.25","1,084.25","1,073.25","-","1.60%"
"2022년 04월 22일","1,065.50","1,070.00","1,076.00","1,052.50","-","-0.23%"
"2022년 04월 21일","1,068.00","1,094.25","1,094.25","1,052.50","-","-1.84%"
"2022년 04월 20일","1,088.00","1,094.75","1,109.75","1,066.75","-","-1.00%"
"2022년 04월 19일","1,099.00","1,123.25","1,135.00","1,096.00","-","-1.92%"
"2022년 04월 18일","1,120.50","1,099.25","1,134.75","1,098.25","-","2.26%"
"2022년 04월 15일","1,095.75","1,095.75","1,095.75","1,095.75","-","-0.07%"
"2022년 04월 14일","1,096.50","1,113.00","1,127.50","1,094.25","20.65K","-1.53%"
"2022년 04월 13일","1,113.50","1,102.50","1,124.25","1,078.00","-","0.88%"
"2022년 04월 12일","1,103.75","1,077.75","1,117.50","1,075.00","-","2.08%"
"2022년 04월 11일","1,081.25","1,056.00","1,091.75","1,055.00","-","2.83%"
"2022년 04월 08일","1,051.50","1,020.00","1,054.25","1,017.00","-","3.09%"
"2022년 04월 07일","1,020.00","1,040.25","1,044.50","1,017.75","-","-2.03%"
"2022년 04월 06일","1,041.12","1,049.40","1,056.40","1,024.25","-","-0.40%"
"2022년 04월 05일","1,045.25","1,020.50","1,074.00","1,020.00","-","3.46%"
"2022년 04월 04일","1,010.25","989.50","1,014.50","984.75","-","2.62%"
"2022년 04월 01일","984.50","1,007.25","1,032.75","982.50","-","-2.14%"
"2022년 03월 31일","1,006.00","1,030.25","1,075.00","1,003.50","-","-2.07%"
"2022년 03월 30일","1,027.25","1,015.00","1,041.75","1,002.25","-","1.28%"
"2022년 03월 29일","1,014.25","1,047.00","1,068.25","972.00","-","-4.04%"
"2022년 03월 28일","1,057.00","1,092.75","1,096.00","1,047.00","-","-4.11%"
"2022년 03월 25일","1,102.25","1,089.50","1,109.00","1,064.75","-","1.52%"
"2022년 03월 24일","1,085.75","1,105.75","1,115.00","1,080.50","-","-1.81%"
"2022년 03월 23일","1,105.75","1,119.25","1,139.00","1,101.00","-","-1.12%"
"2022년 03월 22일","1,118.25","1,119.25","1,169.25","1,102.25","-","-0.09%"
"2022년 03월 21일","1,119.25","1,075.00","1,148.75","1,061.75","-","5.22%"
"2022년 03월 18일","1,063.75","1,095.00","1,106.00","1,055.75","-","-3.12%"
"2022년 03월 17일","1,098.00","1,051.00","1,108.25","1,031.75","-","2.69%"
"2022년 03월 16일","1,069.25","1,157.25","1,159.50","1,069.25","-","-7.36%"
"2022년 03월 15일","1,154.25","1,106.00","1,160.75","1,088.25","-","4.96%"
"2022년 03월 14일","1,099.75","1,123.50","1,147.30","1,064.25","-","-2.39%"
"2022년 03월 13일","1,126.62","1,127.38","1,127.38","1,126.62","-","3.36%"
"2022년 03월 11일","1,090.00","1,035.75","1,044.75","1,030.75","-","1.51%"
"2022년 03월 10일","1,073.75","1,142.50","1,220.62","1,080.10","0.01K","-10.48%"
"2022년 03월 09일","1,199.50","1,284.38","1,284.38","1,200.75","0.01K","-5.77%"
"2022년 03월 08일","1,273.00","1,319.25","1,319.25","1,275.50","0.03K","-10.68%"
"2022년 03월 07일","1,425.25","1,311.25","1,311.25","1,311.25","0.08K","5.73%"
"2022년 03월 04일","1,348.00","1,340.00","1,340.00","1,201.50","0.15K","4.58%"
"2022년 03월 03일","1,289.00","1,124.25","1,221.00","1,119.00","-","21.78%"
"2022년 03월 02일","1,058.50","1,009.25","1,132.00","997.50","-","5.67%"
"2022년 03월 01일","1,001.75","951.00","1,004.50","951.00","-","7.95%"
"2022년 02월 28일","928.00","920.25","930.50","885.50","-","10.08%"
"2022년 02월 25일","843.00","923.25","951.25","841.50","-","-8.96%"
"2022년 02월 24일","926.00","882.75","926.00","877.25","-","5.71%"
"2022년 02월 23일","876.00","841.00","880.00","834.00","-","3.76%"
"2022년 02월 22일","844.25","815.00","846.25","803.00","-","5.93%"
"2022년 02월 18일","797.00","797.50","812.25","790.00","43.50K","-0.13%"
"2022년 02월 17일","798.00","780.00","799.25","775.50","-","2.24%"
"2022년 02월 16일","780.50","779.75","786.75","773.25","-","0.10%"
"2022년 02월 15일","779.75","801.25","801.75","773.00","-","-2.44%"
"2022년 02월 14일","799.25","801.50","813.50","780.75","-","0.19%"
"2022년 02월 11일","797.75","770.25","806.25","764.75","-","3.40%"
"2022년 02월 10일","771.50","785.50","801.75","765.75","-","-1.72%"
"2022년 02월 09일","785.00","779.50","788.25","770.50","-","0.80%"
"2022년 02월 08일","778.75","771.25","782.00","754.00","99.52K","1.30%"
"2022년 02월 07일","768.75","776.00","776.50","760.00","-","0.72%"
"2022년 02월 04일","763.25","754.75","767.25","748.25","-","1.53%"
"2022년 02월 03일","751.75","754.00","756.50","740.00","-","-0.43%"
"2022년 02월 02일","755.00","770.00","778.50","749.25","-","-1.82%"
"2022년 02월 01일","769.00","762.50","776.75","760.50","-","1.02%"
"2022년 01월 31일","761.25","793.00","798.50","756.75","-","-3.18%"
"2022년 01월 28일","786.25","777.25","793.50","774.75","-","1.19%"
"2022년 01월 27일","777.00","794.25","795.50","774.00","-","-2.26%"
"2022년 01월 26일","795.00","817.25","817.50","787.00","-","-2.81%"
"2022년 01월 25일","818.00","801.00","831.50","800.50","-","2.19%"
"2022년 01월 24일","800.50","794.00","802.50","775.75","-","2.63%"
"2022년 01월 21일","780.00","788.00","791.00","778.00","-","-1.30%"
"2022년 01월 20일","790.25","794.00","802.75","783.75","-","-0.78%"
"2022년 01월 19일","796.50","772.00","797.25","769.50","-","3.58%"
"2022년 01월 18일","769.00","742.25","771.50","741.25","-","3.71%"
"2022년 01월 14일","741.50","746.00","747.25","737.00","44.59K","-0.70%"
"2022년 01월 13일","746.75","757.00","757.75","741.00","-","-1.45%"
