"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 05월 13일","3,489.50","3,495.00","3,490.00","3,492.00","-","-1.15%"
"2022년 05월 12일","3,530.00","3,530.00","3,525.00","3,525.00","25.86K","-3.78%"
"2022년 05월 11일","3,668.50","3,647.00","3,644.00","3,646.00","19.43K","1.97%"
"2022년 05월 10일","3,597.50","3,634.00","3,629.00","3,629.00","20.85K","-0.48%"
"2022년 05월 09일","3,615.00","3,647.00","3,645.00","3,647.00","26.27K","-4.16%"
"2022년 05월 06일","3,772.00","3,810.00","3,806.00","3,806.00","23.21K","-3.39%"
"2022년 05월 05일","3,904.50","3,962.00","3,960.00","3,962.00","27.34K","-1.53%"
"2022년 05월 04일","3,965.00","3,930.00","3,928.00","3,928.00","16.29K","0.09%"
"2022년 05월 03일","3,961.50","3,993.00","3,991.00","3,993.00","24.46K","-3.54%"
"2022년 04월 29일","4,107.00","4,164.00","4,163.00","4,164.00","18.30K","-0.71%"
"2022년 04월 28일","4,136.50","4,180.00","4,176.00","4,178.00","20.27K","-1.97%"
"2022년 04월 27일","4,219.50","4,250.00","4,250.00","4,250.00","16.81K","0.86%"
"2022년 04월 26일","4,183.50","4,242.00","4,240.00","4,242.00","17.64K","0.36%"
"2022년 04월 25일","4,168.50","4,220.00","4,220.00","4,220.00","27.45K","-6.00%"
"2022년 04월 22일","4,434.50","4,455.00","4,454.00","4,455.00","17.33K","-0.35%"
"2022년 04월 21일","4,450.00","4,425.00","4,419.50","4,420.00","12.50K","0.72%"
"2022년 04월 20일","4,418.00","4,445.00","4,445.00","4,445.00","20.05K","-1.79%"
"2022년 04월 19일","4,498.50","4,455.00","4,455.00","4,455.00","18.14K","1.96%"
"2022년 04월 14일","4,412.00","4,432.00","4,430.00","4,432.00","14.27K","-1.11%"
"2022년 04월 13일","4,461.50","4,460.00","4,458.00","4,460.00","18.10K","1.95%"
"2022년 04월 12일","4,376.00","4,298.00","4,296.00","4,298.00","15.11K","2.00%"
"2022년 04월 11일","4,290.00","4,305.00","4,303.00","4,305.00","19.62K","0.83%"
"2022년 04월 08일","4,254.50","4,250.00","4,249.00","4,250.00","14.70K","1.59%"
"2022년 04월 07일","4,188.00","4,235.00","4,222.00","4,222.00","12.69K","-2.01%"
"2022년 04월 06일","4,274.00","4,280.00","4,272.00","4,274.00","13.31K","-0.52%"
"2022년 04월 05일","4,296.50","4,270.00","4,270.00","4,270.00","11.29K","-1.66%"
"2022년 04월 04일","4,369.00","4,415.00","4,410.00","4,410.00","15.77K","0.69%"
"2022년 04월 01일","4,339.00","4,270.00","4,262.00","4,264.00","17.16K","3.97%"
"2022년 03월 31일","4,173.50","4,190.00","4,150.00","4,152.00","17.81K","0.59%"
"2022년 03월 30일","4,149.00","4,120.00","4,115.00","4,117.00","12.42K","3.03%"
"2022년 03월 29일","4,027.00","4,090.00","4,085.00","4,086.00","16.69K","-1.48%"
"2022년 03월 28일","4,087.50","4,060.00","4,053.00","4,055.00","9.98K","0.52%"
"2022년 03월 25일","4,066.50","4,060.00","4,054.50","4,055.50","9.36K","0.68%"
"2022년 03월 24일","4,039.00","4,110.00","4,095.00","4,097.00","21.05K","-1.49%"
"2022년 03월 23일","4,100.00","4,005.00","3,998.00","4,000.00","18.24K","5.45%"
"2022년 03월 22일","3,888.00","3,928.00","3,926.00","3,928.00","11.69K","-1.32%"
"2022년 03월 21일","3,940.00","3,910.00","3,900.00","3,902.00","11.37K","2.98%"
"2022년 03월 18일","3,826.00","3,844.00","3,842.00","3,844.00","10.66K","0.01%"
"2022년 03월 17일","3,825.50","3,804.00","3,802.00","3,804.00","15.12K","0.45%"
