"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 05월 13일","794.50","808.00","808.00","808.00","-","-2.34%"
"2022년 05월 12일","813.50","802.50","814.00","798.75","0.91K","1.40%"
"2022년 05월 11일","802.25","788.00","802.75","788.00","0.65K","2.00%"
"2022년 05월 10일","786.50","787.50","790.75","782.50","0.60K","0.25%"
"2022년 05월 09일","784.50","792.25","792.25","782.00","0.75K","0.32%"
"2022년 05월 08일","782.00","782.00","782.00","782.00","-","-0.35%"
"2022년 05월 06일","784.75","796.25","796.75","776.50","132.01K","-1.60%"
"2022년 05월 05일","797.50","794.25","802.00","791.00","92.04K","0.41%"
"2022년 05월 04일","794.25","793.00","803.75","789.50","102.96K","-0.81%"
"2022년 05월 03일","800.75","817.50","822.00","799.75","2.21K","-1.51%"
"2022년 05월 02일","813.00","811.50","814.00","798.00","2.85K","-0.64%"
"2022년 04월 29일","818.25","816.25","827.00","814.00","11.14K","0.28%"
"2022년 04월 28일","816.00","816.25","823.50","811.00","47.63K","0.06%"
"2022년 04월 27일","815.50","802.75","820.25","797.50","70.67K","1.53%"
"2022년 04월 26일","803.25","800.25","812.25","795.00","85.31K","0.37%"
"2022년 04월 25일","800.25","796.75","802.00","784.75","114.12K","0.91%"
"2022년 04월 22일","793.00","798.75","807.50","783.50","140.80K","-0.78%"
"2022년 04월 21일","799.25","814.00","814.25","797.50","111.00K","-2.02%"
"2022년 04월 20일","815.75","803.50","816.50","796.75","128.91K","1.46%"
"2022년 04월 19일","804.00","813.25","819.75","799.75","133.53K","-1.14%"
"2022년 04월 18일","813.25","791.00","816.75","790.25","114.98K","2.81%"
"2022년 04월 15일","791.00","791.00","791.00","791.00","-","0.09%"
"2022년 04월 14일","790.25","783.50","793.00","781.00","108.88K","0.86%"
"2022년 04월 13일","783.50","775.00","786.25","767.25","182.92K","0.93%"
"2022년 04월 12일","776.25","765.50","779.00","765.00","154.27K","1.54%"
"2022년 04월 11일","764.50","767.00","778.00","762.00","170.23K","-0.55%"
"2022년 04월 08일","768.75","757.00","773.00","752.75","170.87K","1.45%"
"2022년 04월 07일","757.75","755.75","759.25","748.50","149.46K","0.17%"
"2022년 04월 06일","756.50","759.75","761.50","750.25","110.92K","-0.43%"
"2022년 04월 05일","759.75","750.75","768.00","749.25","123.89K","1.23%"
"2022년 04월 04일","750.50","737.00","752.25","734.75","112.65K","2.11%"
"2022년 04월 01일","735.00","748.50","751.50","730.25","155.93K","-1.84%"
"2022년 03월 31일","748.75","739.25","770.00","732.50","173.74K","1.46%"
"2022년 03월 30일","738.00","727.00","748.75","726.75","109.72K","1.62%"
"2022년 03월 29일","726.25","746.25","747.50","713.50","180.17K","-2.97%"
"2022년 03월 28일","748.50","749.00","750.25","740.50","89.18K","-0.73%"
"2022년 03월 25일","754.00","748.50","755.25","742.50","73.85K","0.77%"
"2022년 03월 24일","748.25","757.00","762.50","745.00","100.95K","-1.25%"
"2022년 03월 23일","757.75","752.25","770.50","749.00","112.40K","0.63%"
"2022년 03월 22일","753.00","756.75","761.00","744.00","104.19K","-0.43%"
"2022년 03월 21일","756.25","746.50","765.00","743.00","93.78K","1.95%"
"2022년 03월 18일","741.75","753.75","755.00","736.50","84.41K","-1.69%"
"2022년 03월 17일","754.50","730.00","757.50","728.50","90.27K","3.36%"
"2022년 03월 16일","730.00","756.75","757.00","726.75","106.54K","-3.69%"
"2022년 03월 15일","758.00","745.25","759.00","736.00","89.35K","4.09%"
"2022년 03월 14일","728.25","745.00","752.00","725.50","0.07K","-4.74%"
"2022년 03월 11일","764.50","758.00","768.50","755.00","0.23K","0.89%"
"2022년 03월 10일","757.75","738.50","768.00","738.50","0.07K","3.10%"
"2022년 03월 09일","735.00","756.25","757.25","734.00","0.19K","-2.58%"
"2022년 03월 08일","754.50","747.50","759.00","724.00","0.55K","0.70%"
"2022년 03월 07일","749.25","782.75","782.75","742.75","1.31K","-0.96%"
"2022년 03월 04일","756.50","761.75","800.00","741.00","2.19K","0.70%"
"2022년 03월 03일","751.25","745.00","778.50","745.00","3.45K","1.66%"
"2022년 03월 02일","739.00","741.75","760.00","723.00","3.35K","-0.10%"
"2022년 03월 01일","739.75","699.75","744.25","699.75","7.26K","6.06%"
"2022년 02월 28일","697.50","688.00","704.75","679.00","15.65K","5.76%"
"2022년 02월 25일","659.50","696.75","707.00","657.00","94.80K","-5.11%"
"2022년 02월 24일","695.00","683.50","718.75","682.00","161.61K","1.65%"
"2022년 02월 23일","683.75","674.00","685.00","669.25","154.73K","1.33%"
"2022년 02월 22일","674.75","657.75","676.75","657.75","168.82K","3.13%"
"2022년 02월 18일","654.25","648.50","658.00","647.00","154.05K","0.65%"
"2022년 02월 17일","650.00","645.50","652.00","642.75","121.28K","0.46%"
"2022년 02월 16일","647.00","637.75","647.75","636.25","126.55K","1.41%"
"2022년 02월 15일","638.00","655.00","655.50","635.50","177.96K","-2.71%"
