"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 05월 13일","145.50","145.59","146.58","143.56","-","0.14%"
"2022년 05월 12일","145.29","143.51","147.94","143.10","-","1.19%"
"2022년 05월 11일","143.58","143.00","144.91","142.38","-","0.19%"
"2022년 05월 10일","143.31","142.69","145.21","142.14","-","0.39%"
"2022년 05월 09일","142.75","143.34","148.18","142.62","-","-0.49%"
"2022년 05월 06일","143.46","148.11","148.67","143.39","-","-3.56%"
"2022년 05월 05일","148.76","154.28","155.15","148.76","-","-3.86%"
"2022년 05월 04일","154.74","150.07","155.93","149.14","-","3.16%"
"2022년 05월 03일","150.00","151.38","152.90","148.31","-","-0.45%"
"2022년 05월 02일","150.68","146.94","151.27","145.09","-","2.99%"
"2022년 04월 29일","146.31","149.02","151.09","144.52","-","-0.93%"
"2022년 04월 28일","147.68","142.47","147.68","140.79","-","4.98%"
"2022년 04월 27일","140.68","136.47","140.68","135.84","-","3.34%"
"2022년 04월 26일","136.13","135.20","136.99","134.77","-","0.49%"
"2022년 04월 25일","135.47","136.01","136.08","132.34","-","-0.62%"
"2022년 04월 22일","136.32","137.98","138.00","135.01","-","-1.09%"
"2022년 04월 21일","137.82","138.66","139.12","136.91","-","-0.61%"
"2022년 04월 20일","138.67","138.59","141.10","138.03","-","0.15%"
"2022년 04월 19일","138.46","143.52","143.85","137.63","-","-3.35%"
"2022년 04월 18일","143.26","141.47","144.02","141.38","-","0.77%"
"2022년 04월 14일","142.17","143.13","146.12","140.75","-","-0.55%"
"2022년 04월 13일","142.95","138.56","143.37","137.53","-","3.10%"
"2022년 04월 12일","138.65","135.35","139.14","135.19","-","2.42%"
"2022년 04월 11일","135.37","132.62","136.28","131.61","-","2.23%"
"2022년 04월 08일","132.42","133.30","134.58","132.29","-","-0.69%"
"2022년 04월 07일","133.34","135.75","136.44","132.90","-","-1.76%"
"2022년 04월 06일","135.73","137.63","138.41","135.15","-","-1.44%"
"2022년 04월 05일","137.71","138.10","140.43","136.88","-","-0.03%"
"2022년 04월 04일","137.75","134.79","138.59","134.79","-","2.18%"
"2022년 04월 01일","134.81","136.01","137.47","134.13","-","-0.51%"
