"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 05월 15일","768.40","768.40","768.40","768.40","-","0.00%"
"2022년 05월 14일","768.40","768.40","768.40","768.40","-","-16.48%"
"2022년 05월 13일","920.00","985.00","985.00","920.00","0.21K","-8.37%"
"2022년 05월 12일","1,004.00","1,024.90","1,024.90","1,000.00","0.04K","-0.35%"
"2022년 05월 11일","1,007.50","1,011.00","1,025.00","1,007.50","0.05K","-1.42%"
"2022년 05월 10일","1,022.00","1,008.00","1,025.00","1,008.00","0.05K","1.29%"
"2022년 05월 09일","1,009.00","1,000.10","1,015.00","975.00","0.09K","1.00%"
"2022년 05월 08일","999.00","999.00","999.00","999.00","-","0.00%"
"2022년 05월 07일","999.00","999.00","999.00","999.00","-","-0.11%"
"2022년 05월 06일","1,000.10","990.00","1,005.00","985.00","0.15K","-1.95%"
"2022년 05월 05일","1,020.00","1,010.00","1,033.40","993.80","0.13K","0.99%"
"2022년 05월 04일","1,010.00","1,021.60","1,025.50","980.00","0.14K","-2.84%"
"2022년 05월 03일","1,039.50","1,036.00","1,045.00","1,022.00","0.10K","0.46%"
"2022년 05월 02일","1,034.70","1,033.90","1,054.00","1,025.00","0.09K","-0.48%"
"2022년 04월 29일","1,039.70","1,025.00","1,047.40","1,023.00","0.09K","-0.49%"
"2022년 04월 28일","1,044.80","1,044.70","1,045.90","1,020.00","0.07K","-0.72%"
"2022년 04월 27일","1,052.40","1,036.30","1,062.80","1,026.10","0.13K","2.42%"
"2022년 04월 26일","1,027.50","1,009.00","1,049.40","1,008.00","0.18K","1.00%"
"2022년 04월 25일","1,017.30","980.20","1,017.30","945.70","0.15K","1.47%"
"2022년 04월 22일","1,002.60","1,021.10","1,029.90","1,000.00","0.18K","-2.19%"
"2022년 04월 21일","1,025.00","1,005.10","1,041.40","989.80","0.20K","2.95%"
"2022년 04월 20일","995.60","960.00","995.60","945.70","0.25K","6.07%"
"2022년 04월 19일","938.60","945.40","951.50","920.30","0.16K","1.59%"
"2022년 04월 18일","923.90","887.90","924.20","871.70","0.17K","3.93%"
"2022년 04월 14일","889.00","880.30","904.80","862.10","0.16K","0.60%"
"2022년 04월 13일","883.70","876.60","902.50","844.80","0.18K","1.09%"
"2022년 04월 12일","874.20","862.00","890.00","829.30","0.24K","-1.37%"
"2022년 04월 11일","886.30","971.10","992.60","870.00","0.23K","-6.70%"
"2022년 04월 08일","949.90","891.00","949.90","890.00","0.24K","6.38%"
"2022년 04월 07일","892.90","864.90","896.70","846.70","0.35K","1.30%"
"2022년 04월 06일","881.40","925.00","925.00","881.40","0.17K","-6.07%"
"2022년 04월 05일","938.40","973.90","977.80","935.00","0.13K","-2.91%"
"2022년 04월 04일","966.50","965.00","993.30","945.20","0.12K","-1.67%"
"2022년 04월 02일","982.90","982.90","982.90","982.90","-","1.87%"
"2022년 04월 01일","964.90","955.20","984.80","929.50","0.31K","-0.04%"
"2022년 03월 31일","965.30","1,012.70","1,043.00","945.00","0.29K","-3.63%"
"2022년 03월 30일","1,001.70","1,075.00","1,084.90","997.00","0.18K","-4.96%"
"2022년 03월 29일","1,054.00","993.80","1,055.00","993.80","0.16K","5.45%"
"2022년 03월 28일","999.50","986.00","1,001.00","977.80","0.07K","-0.84%"
"2022년 03월 25일","1,008.00","1,016.20","1,022.00","974.80","0.25K","-1.18%"
"2022년 03월 24일","1,020.00","1,022.40","1,059.90","1,003.40","0.24K","-3.25%"
"2022년 03월 23일","1,054.30","1,085.20","1,089.80","1,054.30","0.11K","-5.13%"
"2022년 03월 22일","1,111.30","1,100.00","1,130.00","1,042.30","0.32K","-1.51%"
"2022년 03월 21일","1,128.30","1,201.30","1,229.00","1,128.30","0.13K","-4.81%"
"2022년 03월 18일","1,185.30","1,223.40","1,246.00","1,173.50","0.18K","-1.80%"
"2022년 03월 17일","1,207.00","1,152.00","1,207.00","1,150.00","0.24K","4.96%"
"2022년 03월 16일","1,150.00","1,201.00","1,201.00","1,125.00","0.24K","-19.01%"
"2022년 03월 15일","1,420.00","1,420.00","1,420.00","1,420.00","-","0.71%"
"2022년 03월 14일","1,410.00","1,348.00","1,430.00","1,348.00","0.03K","0.00%"
"2022년 03월 11일","1,410.00","1,370.00","1,420.00","1,310.00","0.02K","4.56%"
"2022년 03월 10일","1,348.50","1,355.00","1,382.00","1,344.00","0.04K","-0.15%"
"2022년 03월 09일","1,350.50","1,350.60","1,377.10","1,335.90","0.04K","-2.59%"
"2022년 03월 08일","1,386.40","1,411.00","1,425.00","1,385.00","0.05K","-4.79%"
"2022년 03월 07일","1,456.10","1,441.00","1,460.00","1,441.00","0.03K","1.05%"
"2022년 03월 04일","1,441.00","1,477.40","1,477.40","1,396.00","0.08K","-1.60%"
"2022년 03월 03일","1,464.40","1,439.50","1,464.40","1,438.00","0.11K","3.22%"
"2022년 03월 02일","1,418.70","1,395.00","1,433.40","1,395.00","0.13K","3.33%"
"2022년 03월 01일","1,373.00","1,349.00","1,379.50","1,349.00","0.14K","2.72%"
"2022년 02월 28일","1,336.70","1,310.00","1,341.00","1,309.50","0.12K","1.85%"
"2022년 02월 25일","1,312.40","1,319.90","1,331.10","1,295.00","0.22K","0.03%"
"2022년 02월 24일","1,312.00","1,277.70","1,314.50","1,260.00","0.20K","2.74%"
"2022년 02월 23일","1,277.00","1,252.10","1,277.00","1,242.70","0.20K","2.41%"
"2022년 02월 22일","1,247.00","1,265.00","1,293.80","1,241.60","0.27K","-1.43%"
"2022년 02월 20일","1,265.10","1,265.10","1,265.10","1,265.10","-","-0.39%"
"2022년 02월 18일","1,270.00","1,275.00","1,319.90","1,261.00","0.25K","-1.58%"
"2022년 02월 17일","1,290.40","1,301.00","1,316.10","1,290.40","0.29K","-2.27%"
"2022년 02월 16일","1,320.40","1,313.70","1,336.00","1,285.00","0.43K","2.28%"
"2022년 02월 15일","1,291.00","1,283.50","1,291.00","1,279.80","0.13K","3.61%"
"2022년 02월 14일","1,246.00","1,207.90","1,246.00","1,202.00","0.22K","2.47%"
"2022년 02월 11일","1,216.00","1,294.90","1,294.90","1,204.90","0.70K","-2.71%"
"2022년 02월 10일","1,249.90","1,249.90","1,249.90","1,249.90","0.13K","3.73%"
"2022년 02월 09일","1,204.90","1,204.90","1,204.90","1,204.90","0.14K","3.88%"
"2022년 02월 08일","1,159.90","1,159.90","1,159.90","1,159.90","0.07K","4.04%"
"2022년 02월 07일","1,114.90","1,114.90","1,114.90","1,114.90","0.10K","4.21%"
"2022년 02월 04일","1,069.90","1,069.90","1,069.90","1,069.90","0.06K","4.39%"
"2022년 02월 03일","1,024.90","1,019.00","1,024.90","1,017.50","0.15K","4.59%"
"2022년 02월 02일","979.90","911.90","979.90","900.90","0.28K","4.81%"
"2022년 02월 01일","934.90","962.80","962.90","934.90","0.30K","-4.59%"
"2022년 01월 31일","979.90","1,049.90","1,053.70","979.90","0.24K","-4.39%"
"2022년 01월 28일","1,024.90","1,001.10","1,024.90","984.10","0.30K","3.02%"
"2022년 01월 27일","994.90","963.70","1,035.80","963.70","1.00K","-1.37%"
"2022년 01월 26일","1,008.70","1,008.70","1,008.70","1,008.70","0.08K","-4.27%"
"2022년 01월 25일","1,053.70","1,053.70","1,053.70","1,053.70","0.05K","-4.10%"
"2022년 01월 24일","1,098.70","1,098.70","1,098.70","1,098.70","0.09K","-3.93%"
"2022년 01월 21일","1,143.70","1,179.80","1,179.80","1,143.70","0.25K","-3.79%"
"2022년 01월 20일","1,188.70","1,208.20","1,233.70","1,188.70","0.31K","-3.65%"
"2022년 01월 19일","1,233.70","1,295.30","1,311.50","1,233.70","0.36K","-3.52%"
"2022년 01월 18일","1,278.70","1,279.70","1,286.00","1,278.70","0.28K","-2.17%"
"2022년 01월 17일","1,307.10","1,307.10","1,307.10","1,307.10","-","5.66%"
"2022년 01월 14일","1,237.10","1,270.00","1,289.00","1,210.00","0.07K","0.65%"
"2022년 01월 13일","1,229.10","1,244.70","1,244.70","1,217.00","0.08K","1.41%"
"2022년 01월 12일","1,212.00","1,219.20","1,230.00","1,200.00","0.09K","0.59%"
"2022년 01월 11일","1,204.90","1,161.00","1,205.00","1,155.00","0.06K","3.87%"
"2022년 01월 10일","1,160.00","1,196.80","1,196.80","1,158.00","0.04K","-2.36%"
"2022년 01월 07일","1,188.00","1,199.00","1,199.00","1,174.00","0.04K","-0.29%"
"2022년 01월 06일","1,191.40","1,175.00","1,191.40","1,154.00","0.06K","2.75%"
"2022년 01월 05일","1,159.50","1,139.70","1,162.80","1,139.70","0.08K","2.34%"
"2022년 01월 04일","1,133.00","1,107.20","1,141.00","1,107.10","0.09K","1.89%"
"2022년 01월 03일","1,112.00","1,131.00","1,131.00","1,109.10","0.08K","-3.13%"
"2021년 12월 31일","1,147.90","1,145.00","1,151.00","1,127.70","0.06K","-0.85%"
"2021년 12월 30일","1,157.70","1,160.00","1,170.20","1,139.40","0.10K","-1.00%"
"2021년 12월 29일","1,169.40","1,132.80","1,172.10","1,101.70","0.19K","2.36%"
"2021년 12월 28일","1,142.40","1,128.00","1,142.40","1,126.80","0.17K","4.10%"
"2021년 12월 27일","1,097.40","1,076.40","1,097.40","1,070.00","0.16K","4.28%"
"2021년 12월 23일","1,052.40","1,026.20","1,052.40","1,026.20","0.13K","2.93%"
"2021년 12월 22일","1,022.40","1,000.70","1,025.10","990.20","0.21K","1.75%"
"2021년 12월 21일","1,004.80","1,038.60","1,043.70","999.10","0.42K","-3.76%"
"2021년 12월 20일","1,044.10","1,063.00","1,063.00","1,044.10","0.19K","-4.13%"
"2021년 12월 17일","1,089.10","1,105.00","1,115.00","1,089.10","0.23K","-2.68%"
"2021년 12월 16일","1,119.10","1,122.10","1,125.00","1,105.00","0.26K","0.87%"
"2021년 12월 15일","1,109.50","1,099.00","1,135.40","1,085.20","0.27K","0.37%"
"2021년 12월 14일","1,105.40","1,129.00","1,136.90","1,080.00","0.22K","-0.80%"
"2021년 12월 13일","1,114.30","1,103.50","1,114.30","1,073.00","0.25K","4.21%"
"2021년 12월 10일","1,069.30","1,069.30","1,069.30","1,028.60","0.32K","4.39%"
"2021년 12월 09일","1,024.30","1,024.30","1,024.30","1,024.30","0.08K","4.60%"
"2021년 12월 08일","979.30","950.60","979.30","950.60","0.12K","3.16%"
"2021년 12월 07일","949.30","971.00","977.50","900.70","0.36K","1.35%"
"2021년 12월 06일","936.70","902.80","936.70","902.80","0.10K","3.61%"
"2021년 12월 04일","904.10","904.10","904.10","904.10","-","-0.29%"
"2021년 12월 03일","906.70","925.00","939.90","897.40","0.34K","-0.85%"
"2021년 12월 02일","914.50","898.50","914.50","872.10","0.33K","5.18%"
"2021년 12월 01일","869.50","854.60","869.50","854.60","0.27K","5.46%"
"2021년 11월 30일","824.50","804.70","824.50","804.70","0.38K","3.78%"
"2021년 11월 29일","794.50","773.00","796.20","769.60","0.22K","3.69%"
"2021년 11월 26일","766.20","770.80","779.50","764.20","0.15K","-3.20%"
"2021년 11월 24일","791.50","783.00","804.50","777.10","0.13K","1.55%"
"2021년 11월 23일","779.40","780.10","789.30","760.10","0.18K","0.88%"
"2021년 11월 22일","772.60","800.50","831.80","772.00","0.45K","-3.65%"
"2021년 11월 19일","801.90","764.50","802.00","748.00","0.64K","5.93%"
"2021년 11월 18일","757.00","735.70","757.00","702.20","0.53K","6.32%"
"2021년 11월 17일","712.00","697.20","712.00","697.00","0.13K","6.75%"
"2021년 11월 16일","667.00","649.00","667.00","649.00","0.16K","24.44%"
"2021년 11월 15일","536.00","531.10","550.00","531.10","0.02K","-0.76%"
"2021년 11월 12일","540.10","565.90","570.80","530.10","0.07K","-1.80%"
"2021년 11월 11일","550.00","589.50","590.00","531.10","0.05K","-6.22%"
"2021년 11월 10일","586.50","588.00","590.00","580.10","0.05K","-0.17%"
"2021년 11월 09일","587.50","592.00","598.10","587.50","0.03K","-0.61%"
"2021년 11월 08일","591.10","595.60","629.90","591.10","0.06K","-3.89%"
"2021년 11월 05일","615.00","605.30","616.30","590.10","0.03K","1.49%"
"2021년 11월 04일","606.00","609.30","620.00","600.00","0.05K","-0.54%"
"2021년 11월 03일","609.30","579.80","624.00","579.80","0.09K","5.14%"
"2021년 11월 02일","579.50","575.00","583.40","565.80","0.06K","1.13%"
"2021년 11월 01일","573.00","595.20","595.20","571.00","0.09K","-3.14%"
"2021년 10월 29일","591.60","610.50","616.80","588.50","0.19K","-3.59%"
"2021년 10월 28일","613.60","621.70","632.40","610.70","0.17K","-2.60%"
"2021년 10월 27일","630.00","642.00","642.00","624.00","0.20K","-2.84%"
"2021년 10월 26일","648.40","657.20","657.20","644.10","0.24K","-1.76%"
"2021년 10월 25일","660.00","668.00","680.00","650.40","0.27K","-1.14%"
"2021년 10월 22일","667.60","679.00","697.90","662.40","0.17K","-1.68%"
"2021년 10월 21일","679.00","676.00","691.60","662.00","0.19K","0.40%"
