"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 05월 13일","157.88","156.98","158.60","156.70","-","0.64%"
"2022년 05월 12일","156.88","158.20","158.35","156.65","1.14K","-0.81%"
"2022년 05월 11일","158.15","158.80","159.38","157.35","1.21K","-0.49%"
"2022년 05월 10일","158.93","159.63","160.40","158.80","0.92K","-8.78%"
"2022년 05월 09일","174.23","175.02","175.30","171.85","5.64K","-0.27%"
"2022년 05월 06일","174.70","174.63","176.02","174.23","4.35K","0.19%"
"2022년 05월 05일","174.38","175.55","175.55","173.65","4.94K","7.58%"
"2022년 05월 04일","162.09","161.85","162.82","161.50","-","-0.19%"
"2022년 05월 03일","162.40","161.13","162.63","160.45","2.09K","0.60%"
"2022년 05월 02일","161.43","158.13","161.88","157.88","2.32K","3.25%"
"2022년 04월 29일","156.35","158.35","159.45","156.23","3.02K","0.27%"
"2022년 04월 28일","155.93","156.05","156.15","155.50","1.09K","-0.18%"
"2022년 04월 27일","156.20","156.50","156.77","156.15","0.80K","-2.82%"
"2022년 04월 26일","160.73","160.90","161.88","160.40","-","-0.36%"
"2022년 04월 25일","161.30","162.00","162.35","160.13","-","-1.57%"
"2022년 04월 22일","163.88","164.00","165.10","163.60","4.76K","3.42%"
"2022년 04월 21일","158.45","157.65","158.50","157.48","0.79K","0.60%"
"2022년 04월 20일","157.50","156.75","158.00","156.75","0.77K","0.54%"
"2022년 04월 19일","156.65","156.23","157.00","155.90","0.66K","-1.57%"
"2022년 04월 18일","159.15","160.75","161.15","158.65","-","0.92%"
"2022년 04월 15일","157.70","157.70","157.70","157.70","-","-2.52%"
"2022년 04월 14일","161.77","161.80","162.60","161.48","4.24K","2.03%"
"2022년 04월 13일","158.55","158.35","159.50","158.35","0.76K","0.51%"
"2022년 04월 12일","157.75","156.57","158.05","156.00","0.91K","0.70%"
"2022년 04월 11일","156.65","156.32","157.00","154.25","0.83K","0.06%"
"2022년 04월 08일","156.55","156.48","157.68","156.10","0.76K","0.10%"
"2022년 04월 07일","156.40","157.48","158.18","156.02","1.36K","-0.45%"
"2022년 04월 06일","157.10","156.60","157.32","155.07","1.13K","0.62%"
"2022년 04월 05일","156.13","157.60","157.75","155.15","2.19K","-1.42%"
"2022년 04월 04일","158.38","161.15","161.70","158.00","1.50K","-1.98%"
"2022년 04월 01일","161.57","162.02","162.57","160.93","0.89K","3.64%"
"2022년 03월 31일","155.90","156.05","156.13","155.82","0.22K","-0.05%"
"2022년 03월 30일","155.98","156.50","156.60","155.88","0.70K","-0.46%"
"2022년 03월 29일","156.70","156.43","156.90","156.30","0.76K","0.38%"
"2022년 03월 28일","156.10","156.40","156.45","155.98","0.57K","-0.21%"
"2022년 03월 25일","156.43","156.77","156.95","156.30","0.62K","-0.22%"
"2022년 03월 24일","156.77","156.52","157.07","156.23","0.63K","0.43%"
"2022년 03월 23일","156.10","156.00","156.45","155.23","0.94K","-0.14%"
"2022년 03월 22일","156.32","156.60","157.35","156.02","0.37K","0.14%"
"2022년 03월 21일","156.10","156.88","157.20","155.43","0.58K","-0.57%"
"2022년 03월 18일","157.00","156.40","157.70","156.40","0.58K","0.29%"
"2022년 03월 17일","156.55","157.00","157.20","156.25","0.60K","-0.45%"
"2022년 03월 16일","157.25","156.85","157.95","156.50","1.10K","0.58%"
"2022년 03월 15일","156.35","157.00","157.15","155.65","0.84K","0.26%"
"2022년 03월 14일","155.95","154.30","156.70","153.65","1.48K","1.75%"
"2022년 03월 11일","153.27","152.05","153.93","152.00","0.94K","1.07%"
"2022년 03월 10일","151.65","152.77","153.80","151.32","1.40K","-1.56%"
"2022년 03월 09일","154.05","155.02","155.02","153.55","0.96K","0.02%"
"2022년 03월 08일","154.02","154.20","155.63","152.63","2.54K","-0.37%"
"2022년 03월 07일","154.60","153.23","155.80","152.32","1.75K","0.96%"
"2022년 03월 04일","153.13","154.52","155.77","150.18","2.46K","-2.06%"
"2022년 03월 03일","156.35","157.50","157.77","155.93","1.37K","-1.23%"
"2022년 03월 02일","158.30","156.70","159.18","156.70","1.91K","1.30%"
"2022년 03월 01일","156.27","156.10","157.85","156.00","2.56K","-0.92%"
"2022년 02월 28일","157.73","158.10","159.85","156.23","3.80K","-1.44%"
"2022년 02월 25일","160.02","161.85","162.35","159.30","3.16K","0.58%"
"2022년 02월 24일","159.10","160.00","160.30","156.52","8.05K","-2.26%"
"2022년 02월 23일","162.77","164.23","164.32","162.63","4.91K","-0.88%"
"2022년 02월 22일","164.23","165.13","165.73","163.25","4.45K","-0.73%"
"2022년 02월 18일","165.43","166.23","166.23","165.18","3.33K","-0.47%"
"2022년 02월 17일","166.20","167.40","167.40","165.90","3.20K","-0.75%"
"2022년 02월 16일","167.45","168.43","168.77","166.90","3.74K","-0.76%"
"2022년 02월 15일","168.73","167.20","169.38","167.15","5.50K","1.11%"
"2022년 02월 14일","166.88","166.15","167.80","165.70","4.31K","0.39%"
"2022년 02월 11일","166.23","166.50","168.60","166.05","4.54K","-0.30%"
"2022년 02월 10일","166.73","167.88","169.00","166.52","5.99K","-0.92%"
"2022년 02월 09일","168.27","166.90","168.85","166.63","6.56K","0.84%"
"2022년 02월 08일","166.88","165.25","167.30","164.30","5.05K","1.12%"
"2022년 02월 07일","165.02","165.45","166.07","164.45","5.67K","-0.65%"
"2022년 02월 04일","166.10","166.35","167.18","165.73","3.72K","-0.37%"
"2022년 02월 03일","166.73","166.88","167.95","166.10","4.34K","-0.09%"
"2022년 02월 02일","166.88","163.90","167.23","163.73","8.09K","1.94%"
"2022년 02월 01일","163.70","163.50","164.15","162.23","5.42K","0.41%"
"2022년 01월 31일","163.02","159.88","163.25","159.75","7.19K","2.13%"
"2022년 01월 28일","159.63","159.55","160.63","158.63","5.27K","0.44%"
"2022년 01월 27일","158.93","159.13","159.13","158.75","0.28K","0.13%"
"2022년 01월 26일","158.73","158.45","158.90","158.32","0.49K","0.11%"
"2022년 01월 25일","158.55","158.40","158.70","158.20","0.39K","0.05%"
"2022년 01월 24일","158.48","159.73","159.85","157.65","1.05K","-1.12%"
"2022년 01월 21일","160.27","161.20","161.20","160.18","0.50K","-0.56%"
"2022년 01월 20일","161.18","161.60","161.80","160.93","0.66K","-0.14%"
"2022년 01월 19일","161.40","161.15","161.98","160.82","0.73K","-0.03%"
"2022년 01월 18일","161.45","162.00","162.48","161.15","0.70K","-0.77%"
"2022년 01월 14일","162.70","162.70","163.23","162.02","0.77K","-0.14%"
"2022년 01월 13일","162.93","161.90","162.98","161.57","0.80K","0.65%"
"2022년 01월 12일","161.88","162.30","162.63","161.05","0.78K","-0.12%"
"2022년 01월 11일","162.07","160.95","162.68","160.60","1.02K","0.71%"
"2022년 01월 10일","160.93","162.00","162.25","160.80","1.16K","-0.72%"
"2022년 01월 07일","162.10","162.63","162.75","161.68","1.15K","-0.29%"
"2022년 01월 06일","162.57","161.93","162.95","160.88","0.89K","0.28%"
"2022년 01월 05일","162.13","162.60","162.90","161.50","1.20K","-0.34%"
"2022년 01월 04일","162.68","165.55","165.55","161.60","2.63K","-2.15%"
"2022년 01월 03일","166.25","166.60","167.35","166.02","0.93K","-0.37%"
"2021년 12월 31일","166.88","166.50","167.55","165.93","0.67K","0.33%"
"2021년 12월 30일","166.32","165.95","167.00","165.50","1.13K","0.27%"
"2021년 12월 29일","165.88","164.23","166.00","164.23","1.97K","1.42%"
"2021년 12월 28일","163.55","162.75","164.10","162.63","1.94K","0.71%"
"2021년 12월 27일","162.40","163.25","163.50","161.88","1.79K","-0.65%"
"2021년 12월 24일","163.47","163.47","163.47","163.47","-","0.01%"
"2021년 12월 23일","163.45","161.57","163.73","161.10","1.82K","1.04%"
"2021년 12월 22일","161.77","160.55","162.15","160.02","2.82K","0.58%"
"2021년 12월 21일","160.85","159.50","161.35","159.20","3.07K","1.02%"
"2021년 12월 20일","159.23","159.90","159.98","158.40","3.05K","-0.64%"
"2021년 12월 17일","160.25","162.75","162.90","160.05","4.60K","-1.43%"
"2021년 12월 16일","162.57","163.77","163.77","161.50","4.54K","-0.52%"
"2021년 12월 15일","163.43","164.50","164.70","163.20","3.48K","-0.70%"
"2021년 12월 14일","164.57","165.38","165.85","164.30","3.03K","-0.57%"
"2021년 12월 13일","165.52","164.90","166.07","163.90","4.65K","0.39%"
"2021년 12월 10일","164.88","164.00","165.50","163.73","4.44K","0.49%"
"2021년 12월 09일","164.07","163.40","164.32","163.00","5.87K","0.41%"
"2021년 12월 08일","163.40","164.98","164.98","163.02","4.47K","-0.98%"
"2021년 12월 07일","165.02","165.27","165.70","164.25","4.26K","-0.14%"
"2021년 12월 06일","165.25","164.00","165.57","162.82","5.26K","0.69%"
"2021년 12월 03일","164.13","165.90","166.70","163.20","4.57K","-1.00%"
"2021년 12월 02일","165.77","165.40","165.93","164.95","4.29K","-0.03%"
"2021년 12월 01일","165.82","165.00","166.50","164.93","4.50K","0.59%"
"2021년 11월 30일","164.85","165.20","167.10","163.38","7.21K","-0.53%"
"2021년 11월 29일","165.73","167.50","168.30","165.18","6.51K","-0.85%"
"2021년 11월 26일","167.15","164.07","168.18","164.00","5.54K","0.13%"
"2021년 11월 24일","166.93","164.68","167.23","164.23","5.63K","1.55%"
"2021년 11월 23일","164.38","161.98","164.75","161.85","6.07K","1.65%"
"2021년 11월 22일","161.70","160.77","161.98","160.10","3.02K","0.48%"
"2021년 11월 19일","160.93","161.48","162.07","160.75","4.13K","3.21%"
"2021년 11월 18일","155.93","156.07","156.07","155.82","0.33K","-0.10%"
"2021년 11월 17일","156.07","155.80","156.20","155.48","1.00K","0.27%"
"2021년 11월 16일","155.65","155.85","156.25","155.55","0.71K","-0.18%"
"2021년 11월 15일","155.93","156.20","156.20","155.63","0.82K","-0.21%"
"2021년 11월 12일","156.25","157.32","157.55","155.65","0.77K","-0.68%"
"2021년 11월 11일","157.32","156.65","157.60","156.45","0.72K","0.43%"
"2021년 11월 10일","156.65","157.30","157.57","156.32","0.91K","-0.79%"
"2021년 11월 09일","157.90","158.70","158.70","157.63","0.89K","-0.43%"
"2021년 11월 08일","158.57","158.50","158.93","157.77","1.26K","-0.19%"
"2021년 11월 05일","158.88","158.23","159.52","157.57","1.46K","0.54%"
"2021년 11월 04일","158.02","159.00","159.32","157.95","1.37K","-0.72%"
"2021년 11월 03일","159.18","157.95","160.00","157.95","1.88K","1.02%"
"2021년 11월 02일","157.57","154.40","157.82","154.40","1.48K","2.06%"
"2021년 11월 01일","154.40","156.57","157.35","152.73","2.64K","-1.39%"
"2021년 10월 29일","156.57","157.75","158.35","156.18","1.86K","-0.06%"
"2021년 10월 28일","156.68","156.75","156.77","156.00","0.71K","0.11%"
"2021년 10월 27일","156.50","156.15","156.60","155.90","0.48K","0.34%"
"2021년 10월 26일","155.98","155.65","156.05","155.38","0.50K","0.22%"
"2021년 10월 25일","155.63","156.00","156.40","155.43","0.41K","0.13%"
"2021년 10월 22일","155.43","156.35","156.35","155.18","0.54K","-0.53%"
"2021년 10월 21일","156.25","156.43","157.02","156.13","0.56K","0.21%"
"2021년 10월 20일","155.93","155.30","156.05","155.07","0.54K","0.53%"
"2021년 10월 19일","155.10","155.80","157.00","155.00","0.49K","-0.42%"
"2021년 10월 18일","155.75","157.57","157.57","155.65","0.44K","-1.16%"
"2021년 10월 15일","157.57","158.20","158.23","157.30","0.43K","-0.54%"
"2021년 10월 14일","158.43","157.60","158.50","157.23","0.56K","0.49%"
"2021년 10월 13일","157.65","158.45","158.57","157.52","0.88K","-0.58%"
"2021년 10월 12일","158.57","159.23","159.40","158.25","0.91K","-0.47%"
"2021년 10월 11일","159.32","159.23","159.65","158.88","0.97K","-0.09%"
"2021년 10월 08일","159.48","160.00","160.60","159.35","1.24K","-0.55%"
"2021년 10월 07일","160.35","157.02","160.40","157.02","1.94K","2.26%"
"2021년 10월 06일","156.80","155.98","157.10","155.10","0.99K","0.45%"
"2021년 10월 05일","156.10","155.27","157.48","155.00","1.88K","0.71%"
"2021년 10월 04일","155.00","153.00","155.52","152.52","1.00K","1.47%"
"2021년 10월 01일","152.75","153.02","153.90","152.50","1.06K","-0.76%"
"2021년 09월 30일","153.93","154.20","154.30","153.90","0.28K","-0.23%"
"2021년 09월 29일","154.27","154.00","154.45","153.75","0.51K","-0.08%"
"2021년 09월 28일","154.40","154.25","154.65","154.05","0.31K","0.10%"
"2021년 09월 27일","154.25","154.50","154.80","154.13","0.45K","-0.24%"
"2021년 09월 24일","154.63","154.80","155.02","154.48","0.53K","-0.18%"
"2021년 09월 23일","154.90","155.38","155.55","154.77","0.57K","0.06%"
"2021년 09월 22일","154.80","154.95","155.10","154.55","0.76K","-0.03%"
"2021년 09월 21일","154.85","155.48","155.88","154.70","0.34K","-0.10%"
"2021년 09월 20일","155.00","154.18","155.40","153.77","0.33K","0.08%"
"2021년 09월 17일","154.88","155.50","155.63","154.48","0.23K","-0.64%"
"2021년 09월 16일","155.88","154.50","156.13","154.07","0.57K","0.74%"
"2021년 09월 15일","154.73","155.50","155.95","154.63","0.74K","-0.35%"
"2021년 09월 14일","155.27","152.50","155.60","152.50","0.92K","2.02%"
"2021년 09월 13일","152.20","152.90","153.77","151.50","1.01K","-1.33%"
"2021년 09월 10일","154.25","155.75","155.90","153.25","1.51K","-0.96%"
"2021년 09월 09일","155.75","156.07","156.98","155.50","0.68K","-0.19%"
"2021년 09월 08일","156.05","156.35","157.70","155.77","1.45K","-0.14%"
"2021년 09월 07일","156.27","158.98","159.23","155.70","1.82K","-1.39%"
"2021년 09월 03일","158.48","160.75","161.05","158.15","1.75K","-1.14%"
"2021년 09월 02일","160.30","162.82","162.93","159.48","2.97K","-1.61%"
"2021년 09월 01일","162.93","162.85","163.80","162.48","1.70K","-0.05%"
"2021년 08월 31일","163.00","164.38","164.68","162.80","2.20K","-0.64%"
"2021년 08월 30일","164.05","164.55","165.40","163.88","1.76K","-0.36%"
"2021년 08월 27일","164.65","165.13","165.35","163.57","1.84K","3.26%"
"2021년 08월 26일","159.45","159.18","159.55","158.85","0.76K","0.09%"
"2021년 08월 25일","159.30","159.00","159.70","158.80","0.92K","0.46%"
"2021년 08월 24일","158.57","158.45","159.00","157.95","1.22K","0.24%"
"2021년 08월 23일","158.20","158.30","158.90","157.50","1.61K","-0.52%"
"2021년 08월 20일","159.02","157.85","159.40","157.65","0.84K","0.47%"
