"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 05월 13일","21.001","20.635","21.125","20.420","-","1.10%"
"2022년 05월 12일","20.773","21.555","21.625","20.590","82.00K","-3.72%"
"2022년 05월 11일","21.575","21.210","21.970","21.200","80.77K","0.70%"
"2022년 05월 10일","21.424","21.770","22.085","21.155","78.50K","-1.81%"
"2022년 05월 09일","21.820","22.395","22.395","21.650","80.20K","-2.09%"
"2022년 05월 08일","22.285","22.390","22.419","22.280","-","-0.37%"
"2022년 05월 06일","22.367","22.520","22.665","22.110","59.54K","-0.34%"
"2022년 05월 05일","22.443","23.040","23.345","22.325","71.88K","0.18%"
"2022년 05월 04일","22.402","22.600","23.125","22.220","58.06K","-1.16%"
"2022년 05월 03일","22.665","22.700","22.890","22.440","43.73K","0.36%"
"2022년 05월 02일","22.584","22.785","22.880","22.130","56.21K","-1.06%"
"2022년 05월 01일","22.825","22.797","22.907","22.755","-","-1.13%"
"2022년 04월 29일","23.085","23.230","23.650","22.710","55.33K","-0.41%"
"2022년 04월 28일","23.181","23.365","23.455","22.940","57.59K","-1.29%"
"2022년 04월 27일","23.483","23.650","23.780","23.325","0.67K","-0.38%"
"2022년 04월 26일","23.572","23.790","23.980","23.495","0.39K","-0.53%"
"2022년 04월 25일","23.698","24.180","24.180","23.540","0.18K","-2.03%"
"2022년 04월 24일","24.190","24.275","24.275","24.133","-","-0.37%"
"2022년 04월 22일","24.280","24.640","24.690","24.145","0.52K","-1.53%"
"2022년 04월 21일","24.657","25.300","25.300","24.520","0.33K","-2.55%"
"2022년 04월 20일","25.303","25.210","25.390","25.065","0.15K","-0.48%"
"2022년 04월 19일","25.426","26.045","26.170","25.295","0.22K","-2.88%"
"2022년 04월 18일","26.181","26.110","26.480","26.095","0.18K","0.25%"
"2022년 04월 17일","26.115","25.863","26.115","25.775","-","1.01%"
"2022년 04월 15일","25.855","25.855","25.855","25.855","-","0.47%"
"2022년 04월 14일","25.735","25.950","26.135","25.580","0.06K","-1.25%"
