"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 05월 13일","7.663","7.673","7.919","7.515","-","-0.98%"
"2022년 05월 12일","7.739","7.637","7.790","7.255","107.06K","1.30%"
"2022년 05월 11일","7.640","7.312","7.721","7.296","120.93K","3.45%"
"2022년 05월 10일","7.385","7.030","7.463","6.430","185.46K","5.11%"
"2022년 05월 09일","7.026","7.843","8.287","6.962","202.62K","-13.53%"
"2022년 05월 08일","8.125","7.864","8.207","7.857","-","1.02%"
"2022년 05월 06일","8.043","8.843","8.996","7.957","168.30K","-8.43%"
"2022년 05월 05일","8.783","8.355","8.913","8.117","160.16K","4.37%"
"2022년 05월 04일","8.415","7.815","8.474","7.729","132.32K","5.80%"
"2022년 05월 03일","7.954","7.540","8.169","7.539","153.34K","6.41%"
"2022년 05월 02일","7.475","7.412","7.617","7.219","110.92K","3.19%"
"2022년 04월 29일","7.244","6.939","7.335","6.805","109.24K","5.17%"
"2022년 04월 28일","6.888","7.395","7.422","6.879","139.57K","-6.15%"
"2022년 04월 27일","7.339","7.009","7.524","6.956","-","7.14%"
"2022년 04월 26일","6.850","6.836","7.050","6.662","41.41K","2.71%"
"2022년 04월 25일","6.669","6.414","6.966","6.345","32.52K","2.07%"
"2022년 04월 22일","6.534","6.938","7.080","6.438","80.60K","-6.08%"
"2022년 04월 21일","6.957","6.825","7.146","6.703","145.26K","0.29%"
"2022년 04월 20일","6.937","7.253","7.410","6.791","157.96K","-3.33%"
"2022년 04월 19일","7.176","7.776","7.939","6.954","237.00K","-8.24%"
"2022년 04월 18일","7.820","7.367","8.065","7.365","191.08K","7.12%"
"2022년 04월 14일","7.300","7.046","7.346","6.950","214.22K","4.33%"
"2022년 04월 13일","6.997","6.704","7.091","6.652","210.55K","4.75%"
"2022년 04월 12일","6.680","6.705","6.947","6.600","234.25K","0.56%"
"2022년 04월 11일","6.643","6.394","6.722","6.247","177.96K","5.81%"
"2022년 04월 08일","6.278","6.411","6.538","6.257","188.34K","-1.27%"
"2022년 04월 07일","6.359","6.116","6.440","6.000","199.51K","5.47%"
"2022년 04월 06일","6.029","6.078","6.394","6.000","166.72K","-0.05%"
"2022년 04월 05일","6.032","5.782","6.201","5.771","158.22K","5.60%"
"2022년 04월 04일","5.712","5.745","5.857","5.650","137.18K","-0.14%"
"2022년 04월 01일","5.720","5.627","5.778","5.505","178.52K","1.38%"
"2022년 03월 31일","5.642","5.575","5.832","5.454","159.72K","0.66%"
"2022년 03월 30일","5.605","5.329","5.624","5.270","117.85K","5.04%"
"2022년 03월 29일","5.336","5.453","5.491","5.255","2.27K","-3.12%"
"2022년 03월 28일","5.508","5.551","5.652","5.419","33.91K","-1.13%"
"2022년 03월 25일","5.571","5.401","5.577","5.345","29.47K","3.15%"
"2022년 03월 24일","5.401","5.115","5.464","5.063","84.23K","3.23%"
"2022년 03월 23일","5.232","5.147","5.330","5.092","74.54K","0.87%"
"2022년 03월 22일","5.187","4.948","5.204","4.877","122.75K","5.86%"
"2022년 03월 21일","4.900","4.909","4.976","4.748","75.46K","0.76%"
"2022년 03월 18일","4.863","4.930","4.957","4.811","67.27K","-2.55%"
"2022년 03월 17일","4.990","4.747","5.001","4.691","93.84K","5.10%"
"2022년 03월 16일","4.748","4.625","4.776","4.594","80.52K","3.94%"
"2022년 03월 15일","4.568","4.679","4.682","4.459","86.94K","-1.93%"
"2022년 03월 14일","4.658","4.705","4.759","4.506","73.96K","-1.42%"
"2022년 03월 11일","4.725","4.657","4.797","4.622","84.51K","2.03%"
"2022년 03월 10일","4.631","4.520","4.671","4.499","81.81K","2.32%"
"2022년 03월 09일","4.526","4.569","4.625","4.450","95.13K","-0.02%"
"2022년 03월 08일","4.527","4.818","4.882","4.507","159.17K","-6.33%"
"2022년 03월 07일","4.833","5.041","5.184","4.781","130.86K","-3.65%"
"2022년 03월 04일","5.016","4.750","5.045","4.728","125.39K","6.23%"
"2022년 03월 03일","4.722","4.795","4.936","4.628","137.15K","-0.84%"
"2022년 03월 02일","4.762","4.600","4.911","4.600","141.69K","4.13%"
"2022년 03월 01일","4.573","4.408","4.627","4.340","112.55K","3.88%"
"2022년 02월 28일","4.402","4.620","4.683","4.366","107.19K","-1.52%"
"2022년 02월 25일","4.470","4.573","4.716","4.417","114.86K","-2.15%"
"2022년 02월 24일","4.568","4.603","4.940","4.293","3.54K","-1.19%"
"2022년 02월 23일","4.623","4.504","4.704","4.452","47.18K","2.78%"
"2022년 02월 22일","4.498","4.594","4.861","4.448","42.64K","-4.40%"
"2022년 02월 21일","4.705","4.580","4.745","4.520","-","2.75%"
"2022년 02월 20일","4.579","4.529","4.598","4.527","-","3.34%"
"2022년 02월 18일","4.431","4.517","4.654","4.371","73.22K","-1.23%"
"2022년 02월 17일","4.486","4.642","4.793","4.402","117.79K","-4.90%"
"2022년 02월 16일","4.717","4.393","4.740","4.370","155.48K","9.54%"
"2022년 02월 15일","4.306","4.183","4.428","4.157","141.95K","2.65%"
"2022년 02월 14일","4.195","4.103","4.229","4.040","121.20K","6.45%"
"2022년 02월 11일","3.941","3.944","4.056","3.876","177.37K","-0.45%"
"2022년 02월 10일","3.959","4.035","4.068","3.882","141.74K","-1.25%"
"2022년 02월 09일","4.009","4.211","4.259","3.983","154.60K","-5.63%"
"2022년 02월 08일","4.248","4.276","4.381","4.173","154.44K","0.38%"
"2022년 02월 07일","4.232","4.384","4.468","4.120","192.86K","-7.44%"
"2022년 02월 04일","4.572","4.929","5.087","4.487","152.12K","-6.46%"
"2022년 02월 03일","4.888","5.420","5.454","4.816","205.84K","-11.14%"
"2022년 02월 02일","5.501","4.893","5.572","4.857","305.90K","15.79%"
"2022년 02월 01일","4.751","4.921","4.974","4.620","140.79K","-2.52%"
"2022년 01월 31일","4.874","4.867","5.057","4.695","156.75K","5.07%"
"2022년 01월 28일","4.639","4.342","4.876","4.286","263.42K","8.31%"
"2022년 01월 27일","4.283","4.000","4.420","3.990","7.18K","0.14%"
"2022년 01월 26일","4.277","4.040","4.390","4.011","44.32K","5.53%"
"2022년 01월 25일","4.053","3.959","4.079","3.889","23.44K","0.65%"
"2022년 01월 24일","4.027","3.915","4.068","3.876","47.10K","0.70%"
"2022년 01월 21일","3.999","3.838","4.044","3.833","70.26K","5.18%"
"2022년 01월 20일","3.802","4.015","4.037","3.781","104.20K","-5.68%"
"2022년 01월 19일","4.031","4.327","4.385","4.010","116.54K","-5.88%"
"2022년 01월 18일","4.283","4.356","4.390","4.216","119.45K","0.16%"
"2022년 01월 17일","4.276","4.330","4.353","4.216","-","-1.36%"
"2022년 01월 16일","4.335","4.338","4.350","4.323","-","1.71%"
"2022년 01월 14일","4.262","4.263","4.305","4.097","108.86K","-0.19%"
"2022년 01월 13일","4.270","4.791","4.844","4.245","221.61K","-12.09%"
"2022년 01월 12일","4.857","4.225","4.879","4.186","217.50K","14.31%"
"2022년 01월 11일","4.249","4.119","4.261","4.007","121.62K","4.17%"
"2022년 01월 10일","4.079","4.144","4.213","3.977","177.63K","4.16%"
"2022년 01월 07일","3.916","3.860","3.980","3.800","127.01K","2.73%"
"2022년 01월 06일","3.812","3.842","3.931","3.801","116.58K","-1.80%"
"2022년 01월 05일","3.882","3.747","3.897","3.717","96.81K","4.44%"
"2022년 01월 04일","3.717","3.817","3.944","3.709","133.39K","-2.57%"
"2022년 01월 03일","3.815","3.702","3.858","3.638","99.07K","2.28%"
"2021년 12월 31일","3.730","3.589","3.794","3.572","93.10K","4.75%"
"2021년 12월 30일","3.561","3.853","3.966","3.536","124.67K","-11.51%"
"2021년 12월 29일","4.024","4.080","4.261","3.905","4.82K","-0.76%"
"2021년 12월 28일","4.055","4.065","4.154","3.955","35.64K","-0.12%"
"2021년 12월 27일","4.060","3.958","4.087","3.767","38.91K","8.82%"
"2021년 12월 23일","3.731","3.970","4.006","3.599","82.23K","-6.16%"
"2021년 12월 22일","3.976","3.870","4.041","3.816","86.62K","2.77%"
"2021년 12월 21일","3.869","3.840","3.947","3.719","128.44K","0.91%"
"2021년 12월 20일","3.834","3.645","3.924","3.642","128.58K","3.90%"
"2021년 12월 17일","3.690","3.783","3.814","3.617","101.63K","-2.02%"
"2021년 12월 16일","3.766","3.814","3.976","3.729","122.85K","-0.95%"
"2021년 12월 15일","3.802","3.785","3.926","3.766","110.31K","1.47%"
"2021년 12월 14일","3.747","3.802","3.840","3.686","116.83K","-1.24%"
"2021년 12월 13일","3.794","3.975","4.085","3.770","162.59K","-3.34%"
"2021년 12월 10일","3.925","3.798","3.965","3.760","133.28K","2.91%"
"2021년 12월 09일","3.814","3.818","3.924","3.725","141.11K","-0.03%"
"2021년 12월 08일","3.815","3.734","3.931","3.723","146.87K","2.89%"
"2021년 12월 07일","3.708","3.680","3.829","3.657","162.97K","1.39%"
"2021년 12월 06일","3.657","3.826","3.886","3.630","176.72K","-11.50%"
"2021년 12월 03일","4.132","4.105","4.285","4.066","124.77K","1.87%"
"2021년 12월 02일","4.056","4.265","4.335","4.042","145.51K","-4.74%"
"2021년 12월 01일","4.258","4.606","4.664","4.220","171.94K","-6.77%"
"2021년 11월 30일","4.567","4.873","4.900","4.482","171.82K","-5.91%"
"2021년 11월 29일","4.854","5.199","5.200","4.818","172.47K","-10.89%"
"2021년 11월 26일","5.447","5.025","5.562","4.983","6.26K","7.08%"
"2021년 11월 25일","5.087","5.089","5.136","5.029","-","0.37%"
"2021년 11월 24일","5.068","4.992","5.150","4.880","40.86K","2.03%"
"2021년 11월 23일","4.967","4.796","5.082","4.757","47.43K","3.72%"
"2021년 11월 22일","4.789","4.910","4.957","4.648","96.19K","-5.45%"
"2021년 11월 19일","5.065","4.895","5.156","4.838","110.06K","3.33%"
"2021년 11월 18일","4.902","4.896","5.032","4.830","111.03K","1.79%"
"2021년 11월 17일","4.816","5.159","5.165","4.800","145.61K","-6.97%"
"2021년 11월 16일","5.177","5.058","5.394","5.024","141.14K","3.19%"
"2021년 11월 15일","5.017","4.903","5.065","4.713","117.67K","4.72%"
"2021년 11월 12일","4.791","5.129","5.141","4.752","137.10K","-6.95%"
"2021년 11월 11일","5.149","4.917","5.176","4.889","135.95K","5.51%"
"2021년 11월 10일","4.880","4.962","5.046","4.725","170.39K","-1.99%"
"2021년 11월 09일","4.979","5.410","5.467","4.910","202.74K","-8.26%"
"2021년 11월 08일","5.427","5.605","5.663","5.380","154.22K","-1.61%"
"2021년 11월 05일","5.516","5.670","5.760","5.501","133.34K","-3.50%"
"2021년 11월 04일","5.716","5.860","5.876","5.535","147.04K","0.81%"
"2021년 11월 03일","5.670","5.553","5.865","5.465","141.50K","2.31%"
"2021년 11월 02일","5.542","5.220","5.565","5.206","153.76K","6.86%"
"2021년 11월 01일","5.186","5.310","5.497","5.116","163.26K","-4.42%"
"2021년 10월 29일","5.426","5.732","5.837","5.401","154.41K","-6.16%"
"2021년 10월 28일","5.782","6.138","6.206","5.713","165.63K","-6.77%"
"2021년 10월 27일","6.202","5.858","6.291","5.770","5.78K","5.44%"
"2021년 10월 26일","5.882","5.959","6.091","5.595","50.71K","-0.27%"
"2021년 10월 25일","5.898","5.468","6.008","5.462","50.88K","11.70%"
"2021년 10월 22일","5.280","5.196","5.379","5.121","74.37K","3.23%"
"2021년 10월 21일","5.115","5.151","5.227","5.006","107.71K","-1.06%"
"2021년 10월 20일","5.170","5.066","5.221","4.912","140.03K","1.61%"
"2021년 10월 19일","5.088","4.985","5.100","4.825","152.73K","1.98%"
"2021년 10월 18일","4.989","5.299","5.370","4.955","167.90K","-7.78%"
"2021년 10월 15일","5.410","5.641","5.789","5.400","184.58K","-4.87%"
"2021년 10월 14일","5.687","5.676","5.964","5.604","169.16K","1.74%"
"2021년 10월 13일","5.590","5.456","5.693","5.350","198.79K","1.54%"
"2021년 10월 12일","5.505","5.408","5.523","5.168","215.45K","2.99%"
"2021년 10월 11일","5.345","5.695","5.799","5.308","188.70K","-3.95%"
"2021년 10월 08일","5.565","5.761","5.876","5.548","163.35K","-1.97%"
"2021년 10월 07일","5.677","5.710","5.835","5.393","239.50K","0.04%"
"2021년 10월 06일","5.675","6.321","6.466","5.663","274.65K","-10.09%"
"2021년 10월 05일","6.312","5.830","6.392","5.790","219.52K","9.47%"
"2021년 10월 04일","5.766","5.628","6.064","5.628","209.58K","2.62%"
"2021년 10월 01일","5.619","5.975","6.010","5.533","178.94K","-4.23%"
"2021년 09월 30일","5.867","5.457","5.994","5.341","243.24K","7.12%"
"2021년 09월 29일","5.477","5.857","5.955","5.421","226.34K","-6.23%"
"2021년 09월 28일","5.841","5.800","6.280","5.602","5.66K","2.37%"
"2021년 09월 27일","5.706","5.191","5.851","5.176","63.07K","11.01%"
"2021년 09월 24일","5.140","5.036","5.183","4.990","47.44K","3.30%"
"2021년 09월 23일","4.976","4.758","5.037","4.741","105.20K","3.56%"
"2021년 09월 22일","4.805","4.811","4.898","4.744","108.78K","0.00%"
"2021년 09월 21일","4.805","4.962","5.046","4.735","163.10K","-3.61%"
"2021년 09월 20일","4.985","5.015","5.172","4.905","156.87K","-2.35%"
"2021년 09월 17일","5.105","5.270","5.394","5.044","164.58K","-4.31%"
"2021년 09월 16일","5.335","5.410","5.600","5.228","221.14K","-2.29%"
"2021년 09월 15일","5.460","5.280","5.650","5.266","279.12K","3.80%"
"2021년 09월 14일","5.260","5.199","5.369","5.171","200.94K","0.55%"
"2021년 09월 13일","5.231","4.945","5.289","4.879","201.77K","5.93%"
"2021년 09월 10일","4.938","5.002","5.058","4.913","151.04K","-1.85%"
"2021년 09월 09일","5.031","4.917","5.047","4.820","234.85K","2.38%"
"2021년 09월 08일","4.914","4.598","5.010","4.585","244.74K","7.57%"
"2021년 09월 07일","4.568","4.710","4.774","4.557","163.66K","-2.66%"
"2021년 09월 06일","4.693","4.724","4.774","4.668","-","-0.66%"
"2021년 09월 05일","4.724","4.727","4.742","4.715","-","0.25%"
"2021년 09월 03일","4.712","4.627","4.718","4.586","110.95K","1.53%"
"2021년 09월 02일","4.641","4.639","4.727","4.577","176.85K","0.56%"
"2021년 09월 01일","4.615","4.403","4.706","4.378","241.16K","5.44%"
"2021년 08월 31일","4.377","4.312","4.417","4.215","147.42K","1.67%"
"2021년 08월 30일","4.305","4.499","4.526","4.222","167.10K","-1.49%"
"2021년 08월 27일","4.370","4.202","4.397","4.197","4.28K","4.45%"
"2021년 08월 26일","4.184","3.917","4.217","3.896","76.86K","7.36%"
"2021년 08월 25일","3.897","3.900","3.991","3.858","39.37K","0.03%"
"2021년 08월 24일","3.896","3.929","3.970","3.884","57.63K","-1.24%"
"2021년 08월 23일","3.945","3.862","3.953","3.838","85.50K","2.44%"
"2021년 08월 20일","3.851","3.863","3.951","3.833","108.52K","0.55%"
"2021년 08월 19일","3.830","3.826","3.881","3.734","121.76K","-0.57%"
"2021년 08월 18일","3.852","3.826","3.875","3.789","95.51K","0.39%"
"2021년 08월 17일","3.837","3.938","3.954","3.803","131.22K","-2.76%"
"2021년 08월 16일","3.946","3.846","3.988","3.817","101.67K","2.20%"
"2021년 08월 13일","3.861","3.915","3.953","3.846","123.01K","-1.83%"
"2021년 08월 12일","3.933","4.057","4.067","3.900","186.99K","-3.10%"
"2021년 08월 11일","4.059","4.110","4.129","3.979","161.90K","-0.73%"
"2021년 08월 10일","4.089","4.039","4.126","4.016","157.51K","0.71%"
"2021년 08월 09일","4.060","4.168","4.185","4.002","180.00K","-1.93%"
"2021년 08월 06일","4.140","4.159","4.191","4.098","153.15K","0.00%"
"2021년 08월 05일","4.140","4.152","4.205","4.116","125.23K","-0.43%"
"2021년 08월 04일","4.158","4.066","4.205","4.056","142.59K","3.25%"
"2021년 08월 03일","4.027","3.959","4.077","3.915","120.86K","2.34%"
"2021년 08월 02일","3.935","3.973","4.042","3.928","110.95K","0.54%"
"2021년 07월 30일","3.914","4.051","4.055","3.855","161.87K","-3.57%"
"2021년 07월 29일","4.059","3.941","4.097","3.927","118.45K","0.37%"
"2021년 07월 28일","4.044","3.947","4.064","3.874","3.88K","1.84%"
"2021년 07월 27일","3.971","4.095","4.114","3.934","46.96K","-3.19%"
"2021년 07월 26일","4.102","4.025","4.187","4.010","49.42K","1.03%"
"2021년 07월 23일","4.060","3.996","4.071","3.976","73.87K","1.42%"
"2021년 07월 22일","4.003","3.922","4.006","3.876","102.16K","1.11%"
"2021년 07월 21일","3.959","3.927","3.965","3.891","111.93K","2.14%"
