"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 05월 13일","2,483.00","2,435.00","2,476.00","2,411.00","21.28K","2.06%"
"2022년 05월 12일","2,433.00","2,465.00","2,465.00","2,421.00","23.73K","-2.25%"
"2022년 05월 11일","2,489.00","2,455.00","2,504.00","2,455.00","24.48K","1.80%"
"2022년 05월 10일","2,445.00","2,451.00","2,465.00","2,429.00","19.02K","-0.41%"
"2022년 05월 09일","2,455.00","2,479.00","2,479.00","2,428.00","30.87K","-1.48%"
"2022년 05월 06일","2,492.00","2,511.00","2,514.00","2,459.00","30.16K","-0.76%"
"2022년 05월 05일","2,511.00","2,580.00","2,584.00","2,505.00","30.54K","-2.67%"
"2022년 05월 04일","2,580.00","2,606.00","2,633.00","2,565.00","22.61K","-1.04%"
"2022년 05월 03일","2,607.00","2,603.00","2,646.00","2,572.00","34.24K","0.10%"
"2022년 05월 02일","2,604.50","2,566.50","2,609.50","2,563.50","-","0.29%"
"2022년 04월 29일","2,597.00","2,650.00","2,650.00","2,650.00","0.01K","1.17%"
"2022년 04월 28일","2,567.00","2,534.00","2,574.00","2,530.00","22.14K","1.18%"
"2022년 04월 27일","2,537.00","2,524.00","2,544.00","2,497.00","23.57K","1.20%"
"2022년 04월 26일","2,507.00","2,505.00","2,524.00","2,478.00","23.07K","0.80%"
"2022년 04월 25일","2,487.00","2,529.00","2,535.00","2,482.00","26.87K","-0.76%"
"2022년 04월 22일","2,506.00","2,532.00","2,532.00","2,466.00","5.21K","-1.34%"
"2022년 04월 21일","2,540.00","2,543.00","2,557.00","2,511.00","6.68K","0.16%"
"2022년 04월 20일","2,536.00","2,530.00","2,567.00","2,523.00","4.99K","0.44%"
"2022년 04월 19일","2,525.00","2,533.00","2,543.00","2,498.00","4.36K","0.00%"
"2022년 04월 18일","2,525.00","2,571.00","2,573.00","2,513.00","5.50K","-2.25%"
"2022년 04월 14일","2,583.00","2,595.00","2,603.00","2,570.00","4.53K","0.00%"
"2022년 04월 13일","2,583.00","2,581.00","2,615.00","2,558.00","9.84K","0.00%"
"2022년 04월 12일","2,583.00","2,616.00","2,634.00","2,568.00","8.32K","-1.26%"
"2022년 04월 11일","2,616.00","2,621.00","2,647.00","2,581.00","11.83K","-0.15%"
"2022년 04월 08일","2,620.00","2,585.00","2,644.00","2,577.00","16.18K","1.79%"
"2022년 04월 07일","2,574.00","2,563.00","2,586.00","2,537.00","15.65K","0.98%"
"2022년 04월 06일","2,549.00","2,548.00","2,578.00","2,527.00","22.00K","0.59%"
"2022년 04월 05일","2,534.00","2,559.00","2,588.00","2,528.00","21.45K","-1.09%"
"2022년 04월 04일","2,562.00","2,599.00","2,652.00","2,555.00","32.58K","-1.42%"
"2022년 04월 01일","2,599.00","2,640.00","2,647.00","2,596.00","22.84K","-1.92%"
"2022년 03월 31일","2,650.00","2,632.00","2,679.00","2,613.00","18.30K","-0.04%"
"2022년 03월 30일","2,651.00","2,638.00","2,674.00","2,575.00","21.44K","0.45%"
"2022년 03월 29일","2,639.00","2,602.00","2,643.00","2,598.00","14.72K","1.42%"
"2022년 03월 28일","2,602.00","2,557.00","2,621.00","2,549.00","13.65K","1.56%"
