"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 05월 13일","1,918.28","1,921.00","1,952.28","1,866.53","-","-0.01%"
"2022년 05월 12일","1,918.53","2,005.03","2,027.78","1,843.28","-","-4.22%"
"2022년 05월 11일","2,003.00","2,018.28","2,075.50","1,997.50","-","-0.89%"
"2022년 05월 10일","2,021.03","2,083.27","2,149.00","2,021.03","-","-3.00%"
"2022년 05월 09일","2,083.52","2,019.00","2,125.00","1,986.28","-","3.20%"
"2022년 05월 08일","2,019.00","2,034.03","2,034.28","2,019.00","-","-0.64%"
"2022년 05월 06일","2,032.00","2,168.02","2,176.00","1,986.50","-","-6.36%"
"2022년 05월 05일","2,170.00","2,258.77","2,277.00","2,160.00","-","-3.93%"
"2022년 05월 04일","2,258.75","2,248.00","2,282.00","2,211.00","-","0.15%"
"2022년 05월 03일","2,255.27","2,200.52","2,275.27","2,200.52","-","2.42%"
"2022년 05월 02일","2,202.00","2,311.02","2,311.02","2,148.02","-","-4.73%"
"2022년 05월 01일","2,311.27","2,271.00","2,312.77","2,271.00","-","-0.12%"
"2022년 04월 29일","2,314.00","2,232.77","2,319.00","2,227.00","-","3.91%"
"2022년 04월 28일","2,227.00","2,202.52","2,281.27","2,201.27","-","0.59%"
"2022년 04월 27일","2,214.00","2,180.02","2,248.00","2,164.50","-","1.42%"
"2022년 04월 26일","2,183.00","2,159.00","2,243.50","2,128.25","-","1.17%"
"2022년 04월 25일","2,157.77","2,306.50","2,315.52","2,058.52","-","-6.56%"
"2022년 04월 24일","2,309.27","2,359.50","2,359.50","2,283.02","-","-2.55%"
"2022년 04월 22일","2,369.77","2,420.77","2,447.52","2,358.00","-","-2.42%"
"2022년 04월 21일","2,428.50","2,441.50","2,480.52","2,376.02","-","-0.59%"
"2022년 04월 20일","2,443.02","2,372.50","2,488.27","2,357.27","-","2.97%"
"2022년 04월 19일","2,372.50","2,430.77","2,439.27","2,345.77","-","-2.35%"
"2022년 04월 18일","2,429.50","2,380.77","2,464.00","2,374.50","-","1.91%"
"2022년 04월 17일","2,384.00","2,340.00","2,384.00","2,339.00","-","1.62%"
"2022년 04월 15일","2,346.00","2,346.00","2,346.00","2,346.00","-","0.00%"
"2022년 04월 14일","2,346.00","2,331.00","2,380.52","2,307.77","-","0.64%"
"2022년 04월 13일","2,331.00","2,327.02","2,419.50","2,303.00","-","0.02%"
"2022년 04월 12일","2,330.50","2,437.00","2,458.00","2,301.00","-","-4.47%"
"2022년 04월 11일","2,439.52","2,455.77","2,532.02","2,404.00","-","-0.95%"
"2022년 04월 10일","2,463.00","2,403.50","2,466.00","2,403.50","-","1.65%"
"2022년 04월 08일","2,423.00","2,243.77","2,465.00","2,232.00","-","7.69%"
"2022년 04월 07일","2,250.00","2,201.27","2,276.02","2,191.50","-","2.67%"
"2022년 04월 06일","2,191.50","2,230.52","2,273.02","2,166.00","-","-1.73%"
"2022년 04월 05일","2,230.02","2,295.02","2,318.00","2,206.50","-","-2.83%"
"2022년 04월 04일","2,295.00","2,290.02","2,339.50","2,271.00","-","-0.11%"
"2022년 04월 03일","2,297.50","2,254.00","2,297.50","2,254.00","-","0.77%"
"2022년 04월 01일","2,280.00","2,271.52","2,344.50","2,212.52","-","0.07%"
"2022년 03월 31일","2,278.50","2,266.77","2,294.52","2,192.50","-","0.42%"
"2022년 03월 30일","2,269.00","2,156.02","2,272.00","2,125.50","-","5.41%"
"2022년 03월 29일","2,152.50","2,252.77","2,295.52","2,025.50","-","-4.30%"
"2022년 03월 28일","2,249.27","2,357.52","2,393.50","2,151.50","-","-4.41%"
"2022년 03월 27일","2,353.00","2,355.00","2,374.50","2,307.00","-","0.41%"
"2022년 03월 25일","2,343.50","2,539.02","2,546.77","2,283.50","-","-7.52%"
"2022년 03월 24일","2,534.00","2,534.00","2,555.77","2,487.52","-","0.00%"
"2022년 03월 23일","2,534.00","2,522.27","2,589.00","2,483.00","-","0.80%"
"2022년 03월 22일","2,514.00","2,579.27","2,607.00","2,467.52","-","-2.43%"
"2022년 03월 21일","2,576.50","2,482.00","2,609.02","2,465.50","-","3.41%"
"2022년 03월 20일","2,491.52","2,499.00","2,499.00","2,475.00","-","0.30%"
"2022년 03월 18일","2,484.00","2,574.52","2,639.00","2,473.77","-","-3.25%"
"2022년 03월 17일","2,567.50","2,389.02","2,586.50","2,380.00","-","7.44%"
"2022년 03월 16일","2,389.77","2,426.50","2,489.50","2,359.50","-","-1.23%"
"2022년 03월 15일","2,419.52","2,371.52","2,493.02","2,350.00","-","2.05%"
"2022년 03월 14일","2,371.00","2,711.27","2,719.50","2,316.27","-","-12.81%"
"2022년 03월 13일","2,719.50","2,784.50","2,796.25","2,708.02","-","-3.19%"
"2022년 03월 11일","2,809.00","2,914.50","2,981.52","2,705.00","-","-3.62%"
"2022년 03월 10일","2,914.52","2,940.27","2,980.52","2,850.00","-","-0.87%"
"2022년 03월 09일","2,940.02","3,281.27","3,289.00","2,867.50","-","-10.61%"
"2022년 03월 08일","3,289.00","2,980.00","3,289.00","2,856.00","-","10.37%"
"2022년 03월 07일","2,980.00","3,119.00","3,417.02","2,800.50","-","-4.50%"
"2022년 03월 06일","3,120.27","2,964.00","3,149.00","2,964.00","-","4.36%"
"2022년 03월 04일","2,990.00","2,766.00","2,992.02","2,762.52","-","8.23%"
"2022년 03월 03일","2,762.52","2,653.77","2,786.77","2,619.00","-","4.01%"
"2022년 03월 02일","2,656.02","2,608.27","2,675.50","2,550.00","-","1.82%"
"2022년 03월 01일","2,608.50","2,488.50","2,718.00","2,481.00","-","4.86%"
"2022년 02월 28일","2,487.52","2,481.50","2,524.00","2,435.00","-","0.24%"
"2022년 02월 27일","2,481.50","2,356.00","2,553.00","2,356.00","-","4.59%"
"2022년 02월 25일","2,372.50","2,425.00","2,482.02","2,315.02","-","-2.00%"
"2022년 02월 24일","2,421.02","2,482.52","2,712.27","2,314.02","-","-2.56%"
"2022년 02월 23일","2,484.50","2,345.50","2,485.50","2,342.00","-","5.88%"
"2022년 02월 22일","2,346.50","2,403.50","2,436.00","2,344.27","-","-2.27%"
"2022년 02월 21일","2,401.02","2,368.27","2,410.77","2,301.00","-","1.39%"
"2022년 02월 20일","2,368.02","2,320.50","2,377.50","2,320.50","-","0.72%"
"2022년 02월 18일","2,351.00","2,370.02","2,384.50","2,290.50","-","-0.82%"
"2022년 02월 17일","2,370.50","2,289.52","2,419.77","2,277.50","-","3.49%"
"2022년 02월 16일","2,290.50","2,255.50","2,315.00","2,218.00","-","1.52%"
"2022년 02월 15일","2,256.25","2,359.00","2,372.02","2,186.00","-","-4.45%"
"2022년 02월 14일","2,361.27","2,354.27","2,391.00","2,252.50","-","0.20%"
"2022년 02월 13일","2,356.50","2,335.50","2,357.00","2,301.50","-","1.88%"
"2022년 02월 11일","2,313.00","2,249.02","2,359.50","2,176.00","-","2.96%"
"2022년 02월 10일","2,246.50","2,283.00","2,331.00","2,243.50","-","-1.51%"
"2022년 02월 09일","2,281.02","2,238.02","2,296.50","2,225.00","-","1.93%"
"2022년 02월 08일","2,237.77","2,276.27","2,281.00","2,200.00","-","-1.69%"
"2022년 02월 07일","2,276.25","2,299.50","2,306.77","2,168.00","-","-0.86%"
"2022년 02월 06일","2,296.02","2,296.75","2,301.50","2,286.00","-","0.46%"
"2022년 02월 04일","2,285.50","2,318.25","2,356.27","2,273.00","-","-1.32%"
"2022년 02월 03일","2,316.00","2,364.50","2,393.00","2,277.77","-","-1.80%"
"2022년 02월 02일","2,358.52","2,356.52","2,424.00","2,340.50","-","0.77%"
"2022년 02월 01일","2,340.50","2,335.27","2,392.77","2,300.50","-","0.09%"
"2022년 01월 31일","2,338.50","2,361.77","2,448.00","2,321.00","-","-0.97%"
"2022년 01월 30일","2,361.50","2,364.75","2,381.50","2,360.50","-","-0.55%"
"2022년 01월 28일","2,374.50","2,367.02","2,384.50","2,250.00","-","0.32%"
"2022년 01월 27일","2,367.00","2,326.02","2,388.52","2,236.77","-","1.75%"
"2022년 01월 26일","2,326.27","2,189.50","2,380.00","2,173.00","-","6.17%"
"2022년 01월 25일","2,191.02","2,137.27","2,204.75","2,125.00","-","2.53%"
"2022년 01월 24일","2,137.00","2,104.50","2,149.00","2,083.75","-","1.54%"
"2022년 01월 23일","2,104.50","2,103.25","2,108.00","2,090.50","-","0.29%"
"2022년 01월 21일","2,098.50","2,046.00","2,139.27","2,033.78","-","2.57%"
"2022년 01월 20일","2,046.00","1,984.28","2,083.50","1,979.00","-","3.11%"
"2022년 01월 19일","1,984.28","1,891.00","2,039.50","1,876.03","-","4.81%"
"2022년 01월 18일","1,893.28","1,873.50","1,927.53","1,870.50","-","1.15%"
"2022년 01월 17일","1,871.78","1,874.00","1,897.50","1,865.50","-","-0.08%"
"2022년 01월 16일","1,873.28","1,880.00","1,880.00","1,870.50","-","-0.52%"
"2022년 01월 14일","1,883.00","1,881.00","1,916.78","1,854.53","-","0.12%"
"2022년 01월 13일","1,880.78","1,908.78","1,917.00","1,862.78","-","-1.30%"
"2022년 01월 12일","1,905.50","1,918.00","1,948.00","1,895.50","-","-0.61%"
"2022년 01월 11일","1,917.28","1,909.50","1,937.78","1,851.00","-","0.09%"
"2022년 01월 10일","1,915.53","1,925.50","1,965.78","1,886.50","-","-0.74%"
