"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 05월 13일","17.150","17.230","17.535","17.170","-","1.27%"
"2022년 05월 12일","16.935","17.020","17.220","16.985","0.05K","1.50%"
"2022년 05월 11일","16.685","16.625","16.625","16.600","0.03K","0.60%"
"2022년 05월 10일","16.585","16.435","16.435","16.370","0.02K","0.55%"
"2022년 05월 09일","16.495","16.690","16.690","16.605","0.02K","-2.94%"
"2022년 05월 06일","16.995","17.070","17.185","16.950","0.21K","-0.50%"
"2022년 05월 05일","17.080","17.125","17.355","16.780","0.50K","-0.12%"
"2022년 05월 04일","17.100","17.080","17.205","17.025","0.37K","0.38%"
"2022년 05월 03일","17.035","17.155","17.360","16.910","-","1.55%"
"2022년 05월 02일","16.775","17.085","17.085","17.080","0.03K","-4.03%"
"2022년 04월 29일","17.480","17.090","17.480","16.970","-","4.20%"
"2022년 04월 28일","16.775","16.545","16.925","16.545","0.32K","0.69%"
"2022년 04월 27일","16.660","16.615","16.850","16.520","0.47K","-0.54%"
"2022년 04월 26일","16.750","16.380","16.830","16.380","0.33K","2.57%"
"2022년 04월 25일","16.330","16.158","16.880","16.018","-","0.77%"
"2022년 04월 22일","16.205","16.200","16.270","16.105","0.67K","-0.15%"
"2022년 04월 21일","16.230","16.205","16.280","16.080","0.78K","1.09%"
"2022년 04월 20일","16.055","16.150","16.245","16.005","0.80K","-0.06%"
"2022년 04월 19일","16.065","16.570","17.000","15.690","1.49K","-2.93%"
"2022년 04월 18일","16.550","16.160","16.700","16.140","0.86K","2.19%"
"2022년 04월 14일","16.195","15.750","16.210","15.735","1.50K","2.76%"
"2022년 04월 13일","15.760","15.750","15.785","15.635","0.82K","0.32%"
"2022년 04월 12일","15.710","15.630","15.750","15.625","0.66K","0.54%"
"2022년 04월 11일","15.625","15.780","15.780","15.625","0.51K","-0.98%"
"2022년 04월 08일","15.780","15.785","15.890","15.705","0.79K","-0.22%"
"2022년 04월 07일","15.815","15.855","15.930","15.730","0.36K","-0.57%"
"2022년 04월 06일","15.905","16.065","16.080","15.855","0.25K","-0.81%"
"2022년 04월 05일","16.035","15.935","16.070","15.905","0.19K","0.44%"
"2022년 04월 04일","15.965","16.050","16.070","15.885","0.13K","-0.25%"
"2022년 04월 01일","16.005","15.955","16.115","15.850","0.37K","-0.03%"
"2022년 03월 31일","16.010","15.910","16.175","15.855","0.43K","0.60%"
"2022년 03월 30일","15.915","15.840","16.030","15.750","0.33K","1.18%"
"2022년 03월 29일","15.730","15.930","15.930","15.610","0.69K","-1.44%"
"2022년 03월 28일","15.960","16.195","16.240","15.855","0.34K","-1.81%"
"2022년 03월 25일","16.255","15.985","16.445","15.805","0.49K","1.53%"
"2022년 03월 24일","16.010","15.915","16.050","15.860","0.17K","0.13%"
"2022년 03월 23일","15.990","16.015","16.080","15.900","0.24K","-0.22%"
"2022년 03월 22일","16.025","15.925","16.040","15.830","0.21K","0.60%"
"2022년 03월 21일","15.930","15.590","16.065","15.500","0.45K","1.95%"
"2022년 03월 18일","15.625","15.700","15.710","15.510","0.43K","-0.54%"
"2022년 03월 17일","15.710","15.815","15.835","15.660","0.41K","-0.98%"
"2022년 03월 16일","15.865","16.250","16.285","15.840","0.45K","-1.95%"
"2022년 03월 15일","16.180","16.185","16.265","15.890","0.31K","3.85%"
"2022년 03월 14일","15.580","15.575","15.600","15.460","0.08K","0.45%"
"2022년 03월 11일","15.510","15.650","15.650","15.460","0.05K","-0.39%"
"2022년 03월 10일","15.570","15.565","15.565","15.565","0.02K","0.29%"
"2022년 03월 09일","15.525","16.058","16.113","15.815","0.01K","-0.93%"
"2022년 03월 08일","15.670","15.675","15.715","15.500","0.07K","-1.57%"
"2022년 03월 07일","15.920","15.890","16.000","15.890","0.07K","-1.24%"
"2022년 03월 04일","16.120","16.495","16.495","16.495","0.03K","0.56%"
"2022년 03월 03일","16.030","16.188","16.880","16.140","0.07K","0.88%"
"2022년 03월 02일","15.890","15.910","16.130","15.910","0.11K","0.19%"
"2022년 03월 01일","15.860","15.400","15.910","15.400","0.20K","3.22%"
"2022년 02월 28일","15.365","15.140","15.400","15.140","0.20K","1.69%"
"2022년 02월 25일","15.110","15.105","15.125","15.025","0.41K","-0.07%"
"2022년 02월 24일","15.120","15.110","15.495","14.920","0.68K","0.40%"
"2022년 02월 23일","15.060","15.120","15.300","15.005","0.39K","-0.40%"
"2022년 02월 22일","15.120","14.885","15.150","14.880","1.09K","1.48%"
"2022년 02월 18일","14.900","14.890","14.915","14.790","0.69K","-0.07%"
"2022년 02월 17일","14.910","14.880","15.000","14.800","0.76K","0.20%"
"2022년 02월 16일","14.880","14.800","14.940","14.740","1.34K","0.47%"
"2022년 02월 15일","14.810","14.990","14.995","14.800","1.07K","-1.59%"
"2022년 02월 14일","15.050","15.195","15.230","14.850","0.78K","-1.05%"
"2022년 02월 11일","15.210","14.775","15.235","14.650","1.13K","2.81%"
"2022년 02월 10일","14.795","15.105","15.105","14.780","0.97K","-1.92%"
"2022년 02월 09일","15.085","15.255","15.275","15.030","0.74K","-1.15%"
"2022년 02월 08일","15.260","15.445","15.500","15.255","0.50K","-1.23%"
"2022년 02월 07일","15.450","15.275","15.525","15.245","0.61K","1.15%"
"2022년 02월 04일","15.275","15.400","15.495","15.170","0.56K","-0.65%"
"2022년 02월 03일","15.375","15.425","15.515","15.255","0.39K","-0.39%"
"2022년 02월 02일","15.435","15.155","15.580","15.135","0.93K","1.78%"
"2022년 02월 01일","15.165","15.060","15.185","14.960","0.50K","0.70%"
"2022년 01월 31일","15.060","14.905","15.100","14.815","0.37K","0.57%"
"2022년 01월 28일","14.975","14.960","14.980","14.610","0.85K","0.10%"
"2022년 01월 27일","14.960","15.025","15.230","14.920","0.67K","-0.73%"
"2022년 01월 26일","15.070","14.905","15.100","14.905","0.30K","0.67%"
"2022년 01월 25일","14.970","14.915","15.175","14.710","0.80K","-0.07%"
"2022년 01월 24일","14.980","14.845","15.020","14.830","0.51K","0.88%"
"2022년 01월 21일","14.850","14.750","15.095","14.625","1.23K","0.54%"
"2022년 01월 20일","14.770","14.655","14.820","14.595","0.37K","0.78%"
